benchmark_id,source_dataset,source_split,source_example_id,import_mode,use_role,question_ru,question_en_original,reasoning_type,hop_count,expected_cardinality,is_answerable,gold_qids,formal_query
ext_rubq2_dev_000004,RuBQ_2.0,dev,4,direct_ru,wording_donor,Какой стране принадлежит знаменитый остров Пасхи?,Which country does the famous Easter island belong to?,single_hop,1.0,1,True,Q298,SELECT ?answer WHERE { wd:Q14452 wdt:P17 ?answer }
ext_rubq2_dev_000007,RuBQ_2.0,dev,7,direct_ru,wording_donor,С какой музыкальной группой неразрывно связано имя Мика Джаггера?,Which music group is Mick Jagger's name inextricably linked to?,single_hop,1.0,2,True,"Q11036, Q1818638",SELECT ?answer WHERE { wd:Q128121 wdt:P361 ?answer }
ext_rubq2_dev_000014,RuBQ_2.0,dev,14,direct_ru,wording_donor,Где находится Летний сад?,Where is the Summer garden?,single_hop,1.0,1,True,Q656,SELECT ?answer WHERE { wd:Q1229234 wdt:P131 ?answer }
ext_rubq2_dev_000022,RuBQ_2.0,dev,22,direct_ru,wording_donor,Какой город является столицей Туркмении?,Which city is the capital of Turkmenistan?,single_hop,1.0,1,True,Q23438,SELECT ?answer WHERE { wd:Q874 wdt:P36 ?answer }
ext_rubq2_dev_000025,RuBQ_2.0,dev,25,direct_ru,wording_donor,"В каком городе издавалась с 1857 г. А. Герценом и Н. Огаревым первая российская революционная газета ""Колокол""?",In which city was the first Russian revolutionary newspaper Kolokol published since 1857 by A. Herzen and N. Ogarev?,single_hop,1.0,2,True,"Q71, Q84",SELECT ?answer WHERE { wd:Q2533402 wdt:P159 ?answer }
ext_rubq2_dev_000031,RuBQ_2.0,dev,31,direct_ru,wording_donor,В какой стране находится второй из самых высоких действующих вулканов с забавным названием Попокатепетль (5452 м)?,Which country has the second highest active volcano with the funny name Popocatepetl (5452 m)?,single_hop,1.0,1,True,Q96,SELECT ?answer WHERE { wd:Q181157 wdt:P17 ?answer }
ext_rubq2_dev_000038,RuBQ_2.0,dev,38,direct_ru,wording_donor,В каком виде спорта прославилась Курникова?,In what sport was Kournikova famous?,single_hop,1.0,1,True,Q847,SELECT ?answer WHERE { wd:Q131120 wdt:P641 ?answer }
ext_rubq2_dev_000040,RuBQ_2.0,dev,40,direct_ru,wording_donor,В каком городе родился Вольфганг Амадей Моцарт?,What city was Wolfgang Amadeus Mozart born in?,single_hop,1.0,1,True,Q34713,SELECT ?answer WHERE { wd:Q254 wdt:P19 ?answer }
ext_rubq2_dev_000041,RuBQ_2.0,dev,41,direct_ru,wording_donor,В каком городе убили Джона Леннона?,What city was John Lennon killed in?,single_hop,1.0,1,True,Q60,SELECT ?answer WHERE { wd:Q1203 wdt:P20 ?answer }
ext_rubq2_dev_000047,RuBQ_2.0,dev,47,direct_ru,wording_donor,Гражданином какой страны был изобретатель телеграфного кода Морзе?,What country was the inventor of the Morse code Telegraph a citizen of?,single_hop,1.0,1,True,Q30,SELECT ?answer WHERE { wd:Q75698 wdt:P27 ?answer }
ext_rubq2_dev_000056,RuBQ_2.0,dev,56,direct_ru,wording_donor,Как называлась столица Крымского ханства?,What was the name of the capital of the Crimean khanate?,single_hop,1.0,1,True,Q158604,SELECT ?answer WHERE { wd:Q160440 wdt:P36 ?answer }
ext_rubq2_dev_000057,RuBQ_2.0,dev,57,direct_ru,wording_donor,Как назывался корабль Хана Соло?,What was the name of Han Solo's ship?,single_hop,1.0,1,True,Q19901,SELECT ?answer WHERE { wd:Q51802 wdt:P3438 ?answer }
ext_rubq2_dev_000065,RuBQ_2.0,dev,65,direct_ru,wording_donor,Какой музыкальный инструмент прославил имя Генри Стейнве?,Which instrument is glorified the name of Henry Steinle?,single_hop,1.0,3,True,"Q5994, Q1148709, Q3382191",SELECT ?answer WHERE { wd:Q156391 wdt:P1056 ?answer }
ext_rubq2_dev_000068,RuBQ_2.0,dev,68,direct_ru,wording_donor,"Какой стране принадлежит авиакомпания ""Malev""?",Which country does Malev belong to?,single_hop,1.0,1,True,Q28,SELECT ?answer WHERE { wd:Q208372 wdt:P17 ?answer }
ext_rubq2_dev_000074,RuBQ_2.0,dev,74,direct_ru,wording_donor,"Кто автор поэмы ""Энеида""?","Who is the author of the poem ""Aeneid""?",single_hop,1.0,1,True,Q1398,SELECT ?answer WHERE { wd:Q60220 wdt:P50 ?answer }
ext_rubq2_dev_000076,RuBQ_2.0,dev,76,direct_ru,wording_donor,"Кто автор романа ""Колыбель для кошки""?","Who is the author of the novel ""cat's Cradle""?",single_hop,1.0,1,True,Q49074,SELECT ?answer WHERE { wd:Q41359 wdt:P50 ?answer }
ext_rubq2_dev_000082,RuBQ_2.0,dev,82,direct_ru,wording_donor,"Кто написал роман ""Зима тревоги нашей""?","Who wrote the novel ""Winter of our anxiety""?",single_hop,1.0,1,True,Q39212,SELECT ?answer WHERE { wd:Q2063426 wdt:P50 ?answer }
ext_rubq2_dev_000084,RuBQ_2.0,dev,84,direct_ru,wording_donor,Кто первым открыл Южную Америку?,Who first discovered South America?,single_hop,1.0,1,True,Q7322,SELECT ?answer WHERE { wd:Q221474 wdt:P61 ?answer }
ext_rubq2_dev_000089,RuBQ_2.0,dev,89,direct_ru,wording_donor,"Кто снял искрометную ""Кавказскую пленницу"" (фамилия)?","Who removed the sparkling ""Caucasian captive"" (surname)?",single_hop,1.0,1,True,Q312480,SELECT ?answer WHERE { wd:Q1953944 wdt:P57 ?answer }
ext_rubq2_dev_000090,RuBQ_2.0,dev,90,direct_ru,wording_donor,Кто создал одно из чудес света – статую Зевса в Афинах?,Who created one of the wonders of the world – the statue of Zeus in Athens?,single_hop,1.0,1,True,Q177302,SELECT ?answer WHERE { wd:Q46239 wdt:P170 ?answer }
