benchmark_id,primary_reasoning_family,program_length,hop_count_estimate,question_en_original,question_ru_manual,translation_comment,answer_text,target_domain_ru,manual_bucket,russian_reconstruction_idea,notes
kqapro_train_013987,multi_hop,12,3,"Which big city was, in 1958, a twinned administrative body of Hamburg, and is the place of the story in Catch Me In You Can (the one that was nominated for Broadcast Film Critics Association Award for Best Film)?","Какой крупный город в 1958 году стал городом-побратимом Гамбурга и является местом действия истории в фильме «Поймай меня, если сможешь», который был номинирован на премию Ассоциации кинокритиков вещательных компаний за лучший фильм?",,Marseille,,,,
kqapro_train_035873,multi_hop,12,3,"Who is a cast member of ""Taken"" (which also has Desmond Harrington as a cast member) and won a Tony Award for Best Featured Actor in a Musical in 1990?","Кто из актёров фильма «Заложница», где также снимался Десмонд Харрингтон, получил премию «Тони» за лучшую мужскую роль второго плана в мюзикле в 1990 году?",,Michael Jeter,,,,
kqapro_train_075279,multi_hop,10,3,"What person is a member, starting in 2012, of the association football club whose headquarters location is Paris (that is the narrative location of The Expendables 2)?","Какой человек с 2012 года является членом футбольного клуба, штаб-квартира которого находится в Париже — городе, где происходит действие фильма «Неудержимые 2»?",,Thiago Silva,,,,
kqapro_train_075408,multi_hop,12,2,Which Japanese prefecture consists of more than 15 percent of water area and is the twinned administrative body of Shanghai (the one that is the twinned administrative body of Yokohama) since 21st November 1980 ?,"Какая японская префектура более чем на 15% состоит из водной площади и с 21 ноября 1980 года является побратимом Шанхая, который, в свою очередь, является побратимом Иокогамы?",,Ōsaka Prefecture,,,,
kqapro_train_076295,multi_hop,12,2,What New York county in New York (the one that is the release region of Monty Python and the Holy Grail) had a population of 48455 at the point in time of this statement which is 2013?,"В каком округе штата Нью-Йорк, где был выпущен фильм «Монти Пайтон и Священный Грааль», в 2013 году численность населения составляла 48 455 человек?",,Greene County,,,,
kqapro_train_035011,multi_hop,12,2,Which visual artwork has its narrative location in California (the filming location of An Alan Smithee Film: Burn Hollywood Burn) and was published on 1997-10-08 in Sweden?,"Какое визуальное произведение, действие которого происходит в Калифорнии — месте съёмок фильма «Гори, Голливуд, гори», — было опубликовано в Швеции 8 октября 1997 года?",,Face/Off,,,,
kqapro_train_085057,multi_hop,12,2,"Which television series contains ""Six Feet Under"" (which has Patricia Heaton as a cast member and has a series ordinal of 44) and ended after 1882?","Какой телесериал включает эпизод «Six Feet Under», в котором снималась Патриция Хитон и который имеет порядковый номер 44, и завершился после 1882 года?",,Everybody Loves Raymond,,,,
kqapro_train_090128,multi_hop,10,2,What person is the winner of the Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series in the year 2012 and is a cast member of Ben-Hur whose length is 125 minutes?,"Какой человек получил премию Гильдии киноактёров США за лучший актёрский состав в драматическом сериале в 2012 году и снимался в фильме «Бен-Гур» продолжительностью 125 минут?",,Jack Huston,,,,
kqapro_val_007523,multi_hop,9,2,Which person received the Cannes Film Festival Award for Best Actor and received the Broadcast Film Critics Association Awards 2009?,"Какой человек получил приз Каннского кинофестиваля за лучшую мужскую роль и премию Ассоциации кинокритиков вещательных компаний в 2009 году?",,Christoph Waltz,,,,
kqapro_train_080370,multi_hop,9,2,What is the beginning date that Viacom (that is the owner of Paramount Pictures) is the parent company of Nickelodeon whose headquarters is located in New York City?,"С какой даты Viacom, владеющая Paramount Pictures, является материнской компанией Nickelodeon, штаб-квартира которой находится в Нью-Йорке?",,1986,,,,
kqapro_train_093938,multi_hop,9,2,Which person received the 54th Annual Grammy Awards and won the MTV Video Music Award for Best Art Direction (the point in time of this statement is 2011)?,"Какой человек получил премию на 54-й церемонии «Грэмми» и выиграл премию MTV Video Music Award за лучшую художественную постановку в 2011 году?",,Adele,,,,
kqapro_train_051875,multi_hop,9,2,What theatrical genre is situation comedy and was nominated for a Primetime Emmy Award for Outstanding Directing for a Comedy Series in the year 1968?,"Какой театральный жанр является ситуационной комедией и был номинирован на прайм-тайм премию «Эмми» за лучшую режиссуру комедийного сериала в 1968 году?",,The Monkees,,,,
kqapro_train_012433,multi_hop,9,2,What person is a participant in the First Continental Congress and is president of the United States of America until the ending date in 1801?,"Кто был участником Первого Континентального конгресса и занимал должность президента США до 1801 года?",,John Adams,,,,
kqapro_train_024590,multi_hop,9,2,Which MTV Video MusicAward was nominated to Aaliyah and also to Alanis Morissette (the point in time of this statement is 2000) ?,"На какую премию MTV Video Music Award в 2000 году были номинированы и Aaliyah, и Alanis Morissette?",,MTV Video Music Award for Best Choreography,,,,
kqapro_train_078807,logical_set,9,1,What big city has a population that is less than 2900000000 (the point in time of this statement is 2010) and a Dewey Decimal Classification of 2--79493?,"Какой крупный город в 2010 году имел население менее 2 900 000 000 человек и классификацию Дьюи 2--79493?",,Pasadena,,,,
kqapro_train_084257,logical_set,9,1,Which administrative territorial entity has a population less than 63000000 in 1972 and an ISO 3166-1 numeric code of 136?,"Какая административно-территориальная единица в 1972 году имела население менее 63 000 000 человек и числовой код ISO 3166-1 136?",,Cayman Islands,,,,
kqapro_train_090019,logical_set,9,1,Which political party has an sRGB color hex triplet of 0087DC and a member count greater than 59000 (the point in time of this statement is 2013)?,"Какая политическая партия имеет цвет в sRGB с hex-кодом 0087DC и в 2013 году насчитывала более 59 000 членов?",,Conservative Party,,,,
kqapro_train_074826,logical_set,9,1,Who is the person with CANTIC-ID a10073449 and a net worth of greater than 380000000 U.S. dollars (the point in time of this statement is 2017)?,"Кто имеет CANTIC-ID a10073449 и состояние более 380 миллионов долларов США по данным на 2017 год?",,Johnny Depp,,,,
kqapro_train_081043,logical_set,9,1,What is the name of the sovereign state whose demonym is jonguo and whose Human Development Index is less than 0.9 in 2014?,"Как называется суверенное государство, жителей которого называют jonguo, а индекс человеческого развития в 2014 году был ниже 0,9?",,People's Republic of China,,,,
kqapro_val_009265,logical_set,9,1,"What country reached a population of 5762673 in 1983, and is known by having its nominal GDP per capital of 7500 USD?","Какая страна в 1983 году достигла численности населения 5 762 673 человек и известна тем, что её номинальный ВВП на душу населения составляет 7 500 долларов США?",,Bolivia,,,,
kqapro_train_061509,logical_set,9,1,What visual artwork was published after 1995 and titled 十面埋伏 (the transliteration of this statement is Shi mian mai fu) ?,"Какое визуальное произведение было опубликовано после 1995 года и имеет название «十面埋伏»?",,House of Flying Daggers,,,,
kqapro_train_088381,logical_set,9,1,What visual artwork is costing less than 240000000 USD and it was published in Hungary on 26th February 2009 ?,"Какое визуальное произведение стоило менее 240 миллионов долларов США и было выпущено в Венгрии 26 февраля 2009 года?",,He's Just Not That into You,,,,
kqapro_train_009429,logical_set,9,1,What big city's population is over 530000 and electorate is not 97000 (this statement's date is 2010-01-15)?,"Какой крупный город по состоянию на 15 января 2010 года имел население более 530 000 человек, а число избирателей не равнялось 97 000?",,Makati,,,,
kqapro_train_050839,logical_set,9,1,What film is the one whose exploitation visa number 28767 was in 1964 and whose duration is 148 minutes ?,"Какой фильм в 1964 году получил прокатное удостоверение № 28767 и имеет продолжительность 148 минут?",,Becket,,,,
kqapro_val_008716,logical_set,9,1,What Louisiana parish's area is 1663 square kilometers and population is over 3.3 in the year 2015?,"Какой округ штата Луизиана имеет площадь 1663 квадратных километра и население более 3,3 по данным за 2015 год?",,Jefferson Parish,,,,
kqapro_train_089559,logical_set,9,1,Which United States state has the nickname Mother of the Presidents and Mother of the Statesmen and has a population greater than 0.8 (the determination method of this statement is census)?,"Какой штат США имеет прозвища «Мать президентов» и «Мать государственных деятелей» и, согласно переписи населения, имеет численность населения более 0,8?",,Virginia,,,,
kqapro_train_048912,qualifier,7,1,What national association football team belongs to the constitutional monarchy whose population is 35820705 (the point in time of this statement is 1969)?,"Какая национальная футбольная сборная относится к конституционной монархии, население которой в 1969 году составляло 35 820 705 человек?",,Thailand national football team,,,,
kqapro_train_089268,qualifier,7,1,Which video game developer is the child organization of the organization whose operating income was less than 1700000000 euros in 2015?,"Какой разработчик видеоигр является дочерней организацией компании, операционная прибыль которой в 2015 году была меньше 1,7 миллиарда евро?",,Gameloft,,,,
kqapro_train_092484,qualifier,7,1,What Power Rangers originates in the sovereign state whose nominal GDP is 4346734000000 United States dollars in the year 1985?,"Какие «Могучие рейнджеры» происходят из суверенного государства, номинальный ВВП которого в 1985 году составлял 4 346 734 000 000 долларов США?",,Mighty Morphin Power Rangers,,,,
kqapro_train_050852,qualifier,7,1,"What engineering field is the part of an industry related to an agent whose total assets equalled 493,071,000,000 USD in 2015?","Какая инженерная область относится к отрасли, связанной с организацией, чьи совокупные активы в 2015 году составляли 493 071 000 000 долларов США?",,mechanical engineering,,,,
