benchmark_id,source_dataset,source_split,question_en_original,question_ru,reasoning_family,question_type,answer_mode,gold_answers,gold_qids,num_answers,supporting_facts,num_supporting_facts,context_docs,num_context_docs,evidences,num_evidences,bridge_depth_estimate,shallow_bridge_flag,strength_bucket,raw_answer,raw_type,translation_ready_text,needs_translation,needs_rephrase,reconstructability_score,surface_template,domain_hint,question_family,shallow_bridge_reason,is_shallow_bridge_v2,is_bridge_comparison,is_compositional,is_inference,is_comparison,is_single_answer,is_list_like,has_multi_answers,has_rich_evidence,movie_director_pattern,reconstructability_score_v2,reconstruction_bucket_v2,pattern_count,pattern_score_max,pattern_score_mean,pattern_domains
2wiki_d8e5f5d6087011ebbd63ac1f6bf848b6,2wikimultihopqa,dev,"Which film came out first, Demons Of The Mind or In The Land Of The Head Hunters?",,comparison,comparison,single,['In The Land Of The Head Hunters'],[],1,[],0,[],0,[],0,4,False,medium,In The Land Of The Head Hunters,comparison,"Which film came out first, Demons Of The Mind or In The Land Of The Head Hunters?",True,True,6,"which film came out first, demons of <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,5,drop,1,5.0,5.0,['movies']
2wiki_e8c28d90085511ebbd59ac1f6bf848b6,2wikimultihopqa,train,"Are both Cathedral Basilica Of The Nativity Of The Blessed Virgin Mary, Tarnów and Church Of St. Johns, Vilnius located in the same country?",,comparison,comparison,single,['no'],[],1,[],0,[],0,[],0,3,False,medium,no,comparison,"Are both Cathedral Basilica Of The Nativity Of The Blessed Virgin Mary, Tarnów and Church Of St. Johns, Vilnius located in the same country?",True,True,5,"are both cathedral basilica of <ent>, tarnów and church of st. johns, vilnius located in <ent>?",history,other,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['history']
2wiki_a95db437085511ebbd59ac1f6bf848b6,2wikimultihopqa,train,"Are both churches, Cathedral Of The Assumption Of The Blessed Virgin Mary, Rožňava and Bethlehem Church, located in the same country?",,comparison,comparison,single,['no'],[],1,[],0,[],0,[],0,3,False,medium,no,comparison,"Are both churches, Cathedral Of The Assumption Of The Blessed Virgin Mary, Rožňava and Bethlehem Church, located in the same country?",True,True,5,"are both churches, cathedral of <ent>, rožňava and bethlehem church, located in <ent>?",history,other,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['history']
2wiki_d4a9df0e08ff11ebbdadac1f6bf848b6,2wikimultihopqa,train,Are both Wizards of the Lost Kingdom II and Where in the World Is Osama bin Laden? from the same country?,,comparison,comparison,single,['yes'],[],1,[],0,[],0,[],0,3,False,medium,yes,comparison,Are both Wizards of the Lost Kingdom II and Where in the World Is Osama bin Laden? from the same country?,True,True,5,are both wizards of <ent> osama bin laden? from <ent>?,history,other,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['history']
2wiki_75f12b40085611ebbd59ac1f6bf848b6,2wikimultihopqa,train,"Are Church Of The Multiplication and Church Of The Messiah (Pulaski, Tennessee) located in the same country?",,comparison,comparison,single,['no'],[],1,[],0,[],0,[],0,3,False,medium,no,comparison,"Are Church Of The Multiplication and Church Of The Messiah (Pulaski, Tennessee) located in the same country?",True,True,5,"are church of <ent> (pulaski, tennessee) located in <ent>?",history,other,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['history']
2wiki_6e74571a085711ebbd5aac1f6bf848b6,2wikimultihopqa,train,"Are Iglesia De Santa María (Arbazal) and Church Of The Nativity Of The Theotokos, Gaboš both located in the same country?",,comparison,comparison,single,['no'],[],1,[],0,[],0,[],0,3,False,medium,no,comparison,"Are Iglesia De Santa María (Arbazal) and Church Of The Nativity Of The Theotokos, Gaboš both located in the same country?",True,True,5,"are iglesia de santa maría (arbazal) and church of <ent>, gaboš both located in <ent>?",history,other,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['history']
2wiki_d4ab11de08b211ebbd85ac1f6bf848b6,2wikimultihopqa,train,"Do the movies In The Land Of The Head Hunters and Out Of The West, originate from the same country?",,comparison,comparison,single,['yes'],[],1,[],0,[],0,[],0,3,False,medium,yes,comparison,"Do the movies In The Land Of The Head Hunters and Out Of The West, originate from the same country?",True,True,5,"do <ent>and out of <ent>, originate from <ent>?",movies,other,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_62b39e73086611ebbd5eac1f6bf848b6,2wikimultihopqa,train,"Which film came out earlier, The Notorious Mrs. Carrick or I Know That You Know That I Know?",,comparison,comparison,single,['The Notorious Mrs. Carrick'],[],1,[],0,[],0,[],0,3,False,medium,The Notorious Mrs. Carrick,comparison,"Which film came out earlier, The Notorious Mrs. Carrick or I Know That You Know That I Know?",True,True,5,"which film came out earlier, <ent>. carrick or i know that you know that i know?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_272e867e091d11ebbdaeac1f6bf848b6,2wikimultihopqa,train,"Which film came out earlier, The Flight In The Night or Deep In The Wood?",,comparison,comparison,single,['The Flight In The Night'],[],1,[],0,[],0,[],0,3,False,medium,The Flight In The Night,comparison,"Which film came out earlier, The Flight In The Night or Deep In The Wood?",True,True,5,"which film came out earlier, <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
2wiki_d086294a095511ebbdaeac1f6bf848b6,2wikimultihopqa,train,"Which film came out earlier, Battle Of The Coral Sea (Film) or Rogue Of The Range?",,comparison,comparison,single,['Rogue Of The Range'],[],1,[],0,[],0,[],0,3,False,medium,Rogue Of The Range,comparison,"Which film came out earlier, Battle Of The Coral Sea (Film) or Rogue Of The Range?",True,True,5,"which film came out earlier, battle of <ent> (film) or rogue of <ent>?",movies,wh,,False,False,False,False,True,True,False,False,False,False,4,drop,1,4.0,4.0,['movies']
