benchmark_id,source_dataset,source_split,source_example_id,import_mode,use_role,question_ru,question_en_original,reasoning_type,hop_count,expected_cardinality,is_answerable,gold_qids,formal_query
ext_rubq2_dev_000113,RuBQ_2.0,dev,113,direct_ru,direct_ru_candidate,Какая столица стоит на берегу Потамака?,What capital stands on the banks of Potalaka?,"reverse_relation, multi_constraint",,1,True,Q61,SELECT ?answer WHERE { ?answer wdt:P206 wd:Q179444 . ?answer wdt:P31 wd:Q5119 }
ext_rubq2_dev_000123,RuBQ_2.0,dev,123,direct_ru,direct_ru_candidate,На каком острове жила древнегреческая поэтесса Сапфо?,On what island did the ancient Greek poet Sappho live?,multi_constraint,,1,True,Q128087,SELECT ?answer WHERE { wd:Q17892 wdt:P551 ?answer . ?answer wdt:P31 wd:Q23442 }
ext_rubq2_dev_000247,RuBQ_2.0,dev,247,direct_ru,direct_ru_candidate,В каком регионе России находится город Майкоп?,In what region of Russia is the city of Maykop located?,multi_constraint,,1,True,Q3734,SELECT ?answer WHERE { wd:Q3752 wdt:P131+ ?answer . ?answer wdt:P31/wdt:P279* wd:Q43263 }
ext_rubq2_dev_000287,RuBQ_2.0,dev,287,direct_ru,direct_ru_candidate,В каком канадском хоккейном клубе играл Алексей Поникаровский?,What canadian hockey club did Alexey ponikarovsky play for?,multi_constraint,,1,True,Q203384,SELECT ?answer WHERE { wd:Q739781 wdt:P54 ?answer . ?answer wdt:P17 wd:Q16 }
ext_rubq2_dev_000326,RuBQ_2.0,dev,326,direct_ru,direct_ru_candidate,В каком из городов находится штаб-квартира НАТО?,Which city is the headquarters of NATO?,multi_constraint,,1,True,Q239,SELECT ?answer WHERE { wd:Q12800833 wdt:P131* ?answer . ?answer wdt:P31 wd:Q515 }
ext_rubq2_dev_000395,RuBQ_2.0,dev,395,direct_ru,direct_ru_candidate,Какой стиль сменила эпоха Возрождения?,What style did the Renaissance change?,multi_constraint,,1,True,Q46825,SELECT ?answer WHERE { wd:Q4692 wdt:P155 ?answer . ?answer wdt:P31 wd:Q1792644 }
ext_rubq2_dev_000521,RuBQ_2.0,dev,521,direct_ru,direct_ru_candidate,"В каком ""рукаве"" Млечного Пути находится Солнечная система?","In what ""arm"" of the milky Way is the Solar system located?",multi_constraint,,1,True,Q33187,SELECT ?answer WHERE { wd:Q544 wdt:P706 ?answer . ?answer wdt:P31 wd:Q2311038 }
ext_rubq2_dev_000565,RuBQ_2.0,dev,565,direct_ru,direct_ru_candidate,В какой группе пел Джим Моррисон?,Which band did Jim Morrison sing in?,multi_constraint,,1,True,Q45354,SELECT ?answer WHERE { wd:Q44301 wdt:P463 ?answer . ?answer wdt:P31/wdt:P279 wd:Q215380 }
ext_rubq2_dev_000720,RuBQ_2.0,dev,720,direct_ru,direct_ru_candidate,Какое событие в истории США послужило основой сюжета романа Стивена Кинга «11/22/63»?,"What event in the history of the United States served as the basis for the plot of Stephen king's novel ""11/22/63""?",multi_constraint,,1,True,Q193484,SELECT ?answer WHERE { wd:Q723020 wdt:P921 ?answer . ?answer wdt:P17 wd:Q30 }
ext_rubq2_dev_001007,RuBQ_2.0,dev,1007,direct_ru,direct_ru_candidate,Сколько музыкантов в квартете?,How many musicians are there in the Quartet?,multi_hop,2.0,1,True,Q202,SELECT ?answer WHERE { wd:Q1135557 wdt:P279 [ wdt:P1557 ?answer ]. }
