id,domain,complexity,template_id,old_constraints,new_constraints,warnings,query_text_ru
cinema_l1_0000,cinema,L1,,"{""country_ru"": ""США"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2015, ""year_to"": 2015}","{""country_ru"": ""США"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""year_from"": 2015, ""year_to"": 2015}",,"Назови 5 фильмов, жанра «криминальный фильм», из страны: США, 2015 года."
cinema_l1_0002,cinema,L1,,"{""country_ru"": ""Великобритания"", ""genre_ru"": ""драма"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2018, ""year_to"": 2025}","{""genre_ru"": ""драма"", ""kind"": ""film"", ""year_from"": 2018, ""year_to"": 2025}",,"Назови 5 фильмов, жанра «драма», в период 2018–2025 годов."
cinema_l1_0004,cinema,L1,,"{""country_ru"": ""Япония"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2019, ""year_to"": 2019}","{""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""year_from"": 2019, ""year_to"": 2019}",,"Назови 5 фильмов, жанра «криминальный фильм», 2019 года."
cinema_l1_0006,cinema,L1,,"{""country_ru"": ""Россия"", ""genre_ru"": ""драма"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2005, ""year_to"": 2009}","{""genre_ru"": ""драма"", ""kind"": ""film"", ""year_from"": 2005, ""year_to"": 2009}",,"Назови 5 фильмов, жанра «драма», в период 2005–2009 годов."
cinema_l1_0008,cinema,L1,,"{""country_ru"": ""США"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2019, ""year_to"": 2024}","{""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""year_from"": 2019, ""year_to"": 2024}",,"Назови 5 фильмов, жанра «криминальный фильм», в период 2019–2024 годов."
cinema_l1_0010,cinema,L1,,"{""country_ru"": ""Великобритания"", ""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2016, ""year_to"": 2016}","{""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""year_from"": 2016, ""year_to"": 2016}",,"Назови 5 фильмов, жанра «приключенческий фильм», 2016 года."
cinema_l1_0012,cinema,L1,,"{""country_ru"": ""СФРЮ"", ""genre_ru"": ""мультфильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2012, ""year_to"": 2014}","{""genre_ru"": ""мультфильм"", ""kind"": ""film"", ""year_from"": 2012, ""year_to"": 2014}",,"Назови 5 фильмов, жанра «мультфильм», в период 2012–2014 годов."
cinema_l1_0014,cinema,L1,,"{""country_ru"": ""Канада"", ""genre_ru"": ""ужасы"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2006, ""year_to"": 2011}","{""country_ru"": ""Канада"", ""genre_ru"": ""ужасы"", ""kind"": ""film"", ""year_from"": 2006, ""year_to"": 2011}",,"Назови 5 фильмов, жанра «ужасы», из страны: Канада, в период 2006–2011 годов."
cinema_l1_0016,cinema,L1,,"{""country_ru"": ""Великобритания"", ""genre_ru"": ""боевик"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2011, ""year_to"": 2014}","{""genre_ru"": ""боевик"", ""kind"": ""film"", ""year_from"": 2011, ""year_to"": 2014}",,"Назови 5 фильмов, жанра «боевик», в период 2011–2014 годов."
cinema_l1_0018,cinema,L1,,"{""country_ru"": ""Россия"", ""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2024, ""year_to"": 2024}","{""genre_ru"": ""приключенческий фильм"", ""kind"": ""film"", ""year_from"": 2024, ""year_to"": 2024}",,"Назови 5 фильмов, жанра «приключенческий фильм», 2024 года."
cinema_l1_0020,cinema,L1,,"{""country_ru"": ""Канада"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""series"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2017, ""year_to"": 2024}","{""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""year_from"": 2017, ""year_to"": 2024}",,"Назови 5 сериалов, жанра «криминальный фильм», в период 2017–2024 годов."
cinema_l1_0022,cinema,L1,,"{""country_ru"": ""Франция"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""not_franchise"": false, ""rating"": null, ""source_dataset"": ""wikidata"", ""year_from"": 2007, ""year_to"": 2012}","{""country_ru"": ""Франция"", ""genre_ru"": ""криминальный фильм"", ""kind"": ""film"", ""year_from"": 2007, ""year_to"": 2012}",,"Назови 5 фильмов, жанра «криминальный фильм», из страны: Франция, в период 2007–2012 годов."
