id,query_id,model_name,run_id,setting,language,source_line_no,domain,complexity,subset,answerability,scoring_status,score_is_provisional,review_needed,review_reasons,judge_main_error_type,judge_secondary_error_types,judge_uncertainty,judge_short_reason,validation_warnings,atomic_target_count,atomic_gold_total_count,atomic_gold_completeness_warning,atomic_extracted_unique_count,atomic_total_mentions_count,atomic_duplicate_mentions_count,atomic_correct_entities_count,atomic_possibly_correct_not_in_gold_count,atomic_constraint_violation_count,atomic_wrong_domain_count,atomic_entity_substitution_count,atomic_unsupported_entity_count,atomic_nonexistent_hallucination_count,atomic_ambiguous_entities_count,atomic_gold_matched_count,atomic_valid_entities_count,atomic_soft_valid_entities_count,atomic_valid_coverage_at_target,atomic_soft_valid_coverage_at_target,atomic_gold_recall_at_target,atomic_answer_precision,atomic_soft_answer_precision,atomic_valid_answer_rate,atomic_underanswer_rate,atomic_soft_underanswer_rate,atomic_overanswer_rate,atomic_duplicate_rate,atomic_constraint_violation_rate,atomic_wrong_domain_rate,atomic_entity_substitution_rate,atomic_unsupported_entity_rate,atomic_nonexistent_entity_rate,atomic_hallucination_rate,atomic_ambiguous_entity_rate,atomic_gold_signal_component,atomic_format_ok,atomic_parse_ok_numeric,atomic_false_refusal_numeric,atomic_partial_refusal_numeric,atomic_correct_no_answer_numeric,atomic_zero_gold_explanation_ok,atomic_hallucinated_on_zero_gold_numeric,atomic_contradiction_flag_numeric,atomic_weighted_constraint_satisfaction,atomic_all_constraints_satisfied_rate,atomic_missed_constraint_rate,atomic_unknown_constraint_rate,atomic_critical_constraint_violation_numeric,group_coverage,group_precision,group_constraint,group_gold_signal,group_format,group_critical_error,group_hallucination,group_refusal,positive_component,penalty_component,final_score,errors,warnings,group_no_answer,group_zero_gold_explanation,group_zero_gold_hallucination,group_critical_error_zero
movie_l3_0080,movie_l3_0080,calibration-suite,case_01,scoring-calibration-v1,ru,1,movie,L3,hard_core,answerable,scored,False,False,[],none,[],low,Ответ содержит все пять точных gold-сущностей без лишних или повторяющихся вариантов.,[],5.0,5.0,False,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,100.0,,,,,,
movie_l2_0027,movie_l2_0027,calibration-suite,case_02,scoring-calibration-v1,ru,2,movie,L2,easy_control,answerable,scored,True,True,['Gold-список помечен как потенциально неполный; все ответы являются подтвержденными неголдовыми сущностями.'],none,[],low,"Все пять названий не входят в gold-список, но предоставленный доверенный контекст подтверждает соответствие каждому ограничению.",[],5.0,13.0,True,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.95,0.0,95.0,,,,,,
movie_l2_0027,movie_l2_0027,calibration-suite,case_03,scoring-calibration-v1,ru,3,movie,L2,easy_control,answerable,scored,True,True,"['Gold-список отмечен как потенциально неполный.', 'Все ответы отсутствуют в gold и требуют проверки рейтинга IMDb.', 'Ключевое ограничение rating_imdb_min не подтверждено доверенным контекстом.']",unsupported_entity,[],high,"Все пять фильмов соответствуют типу и периоду, но их рейтинг IMDb не подтверждён, а gold неполон.",[],5.0,13.0,True,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.921053,0.0,0.0,0.157895,0.0,0.225,0.325,0.664474,0.0,1.0,0.0,0.0,0.0,0.448092,0.0,44.809211,,,,,,
movie_l3_0080,movie_l3_0080,calibration-suite,case_04,scoring-calibration-v1,ru,4,movie,L3,hard_core,answerable,scored,False,False,[],incomplete_list,[],low,Указаны четыре корректных gold-ответа вместо требуемых пяти; отсутствует «Коралина в Стране Кошмаров».,[],5.0,5.0,False,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.8,0.8,0.8,1.0,1.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.92,1.0,0.0,0.0,0.0,0.936,0.0,93.6,,,,,,
movie_l3_0080,movie_l3_0080,calibration-suite,case_05,scoring-calibration-v1,ru,5,movie,L3,hard_core,answerable,scored,False,False,[],incomplete_list,[],low,"Обе названные сущности верны, но вместо пяти требуемых мультфильмов указаны только две.",[],5.0,5.0,False,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.4,0.4,0.4,1.0,1.0,1.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4,1.0,1.0,0.76,1.0,0.0,0.0,0.0,0.808,0.0,80.8,,,,,,
movie_l3_0080,movie_l3_0080,calibration-suite,case_06,scoring-calibration-v1,ru,6,movie,L3,hard_core,answerable,scored,False,False,[],false_refusal,['incomplete_list'],low,Ответ полностью отказывается от разрешимой задачи и не называет ни одного из пяти требуемых мультфильмов.,[],5.0,5.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.75,0.125,0.15,10.625,,,,,,
movie_l3_0080,movie_l3_0080,calibration-suite,case_07,scoring-calibration-v1,ru,7,movie,L3,hard_core,answerable,needs_review_no_score,,True,"['Эталонные ответы и additional_context прямо противоречат друг другу.', 'Существование предложенных моделью названий и их параметры требуют внешней проверки.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],['input_consistency=inconsistent'],,,,
movie_l3_0080,movie_l3_0080,calibration-suite,case_08,scoring-calibration-v1,ru,8,movie,L3,hard_core,answerable,scored,False,False,[],nonexistent_entity,"['hallucination', 'incomplete_list']",low,"Два названия точно совпадают с эталоном, а три остальных обозначены в предоставленном контексте как вымышленные.",[],5.0,5.0,False,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553659,0.4,0.292683,0.307317,1.0,0.4,0.46,0.545976,0.76,1.0,0.35,0.48,0.0,0.536793,0.3385,35.508836,,,,,,
movie_l2_0027,movie_l2_0027,calibration-suite,case_09,scoring-calibration-v1,ru,9,movie,L2,easy_control,answerable,scored,True,True,['Эталонный список помечен как неполный или неопределённый.'],constraint_violation,['missed_constraint'],low,Часть предложенных мультфильмов выпущена до нижней границы периода — 2010 года.,[],5.0,13.0,True,5.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905263,0.4,0.094737,0.0,0.0,0.4,0.46,0.753684,0.38,1.0,0.12,0.0,0.0,0.580105,0.042,55.574084,,,,,,
countries_l3_0003,countries_l3_0003,calibration-suite,case_10,scoring-calibration-v1,ru,10,countries,L3,hard_core,answerable,scored,False,False,[],mostly_wrong,"['constraint_violation', 'missed_constraint', 'incomplete_list']",low,"Швейцария и Бельгия соответствуют задаче; Канада, Гаити и Сенегал нарушают условия региона и границы со страной еврозоны.",[],5.0,5.0,False,5.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747368,0.4,0.252632,0.0,1.0,0.4,0.46,0.643158,0.76,1.0,0.47,0.0,0.0,0.565947,0.1645,47.284903,,,,,,
movie_l2_0027,movie_l2_0027,calibration-suite,case_11,scoring-calibration-v1,ru,11,movie,L2,easy_control,answerable,scored,True,True,['Эталонный список помечен как неполный или неопределённый.'],constraint_violation,['missed_constraint'],low,Все пять мультфильмов выпущены ранее 2010 года и нарушают нижнюю границу периода.,[],5.0,13.0,True,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.842105,0.0,0.157895,0.0,0.0,0.0,0.1,0.589474,0.0,1.0,0.2,0.0,0.0,0.301842,0.07,28.071316,,,,,,
movie_l2_0027,movie_l2_0027,calibration-suite,case_12,scoring-calibration-v1,ru,12,movie,L2,easy_control,answerable,scored,True,True,['Эталонный список помечен как неполный или неопределённый.'],wrong_domain,[],low,"Все пять предложенных объектов являются анимационными телесериалами, а не полнометражными анимационными фильмами.",[],5.0,13.0,True,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.263158,0.473684,1.0,0.0,0.1,0.409211,0.0,1.0,0.6,0.0,0.0,0.247763,0.21,19.573289,,,,,,
movie_l3_0080,movie_l3_0080,calibration-suite,case_13,scoring-calibration-v1,ru,13,movie,L3,hard_core,answerable,scored,False,False,[],constraint_violation,['missed_constraint'],low,Первые пять фильмов точно совпадают с полным gold-набором; три дополнительные сущности нарушают обязательное ограничение по жанру.,[],5.0,5.0,False,8.0,8.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,1.0,1.0,0.625,0.625,0.625,0.0,0.0,0.6,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.945122,0.625,0.054878,0.0,0.0,1.0,0.6325,0.849085,1.0,1.0,0.075,0.0,0.0,0.862851,0.02625,84.020078,,,,,,
zero_cinema_102,zero_cinema_102,calibration-suite,case_14,scoring-calibration-v1,ru,14,movie,L5,zero_gold,zero_gold,scored,False,False,[],none,[],low,"Ответ верно указывает, что одна и та же премьера первого сезона не может одновременно относиться к двум непересекающимся временным интервалам.",[],5.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,,,0.0,1.0,0.0,100.0,,,1.0,1.0,0.0,0.0
zero_cinema_113,zero_cinema_113,calibration-suite,case_15,scoring-calibration-v1,ru,15,movie,L5,zero_gold,zero_gold,scored,False,False,[],bad_zero_gold_behavior,['constraint_violation'],low,"Запрос не имеет допустимых ответов из-за временного противоречия, однако модель предложила пять фильмов, нарушающих центральное условие.","['entities[0]: constraint_violation cannot be reconstructed because dataset constraints are empty', 'entities[1]: constraint_violation cannot be reconstructed because dataset constraints are empty', 'entities[2]: constraint_violation cannot be reconstructed because dataset constraints are empty', 'entities[3]: constraint_violation cannot be reconstructed because dataset constraints are empty', 'entities[4]: constraint_violation cannot be reconstructed because dataset constraints are empty']",5.0,0.0,False,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,,,0.0,0.15,0.4875,7.6875,,,0.0,0.0,0.75,0.0
zero_cinema_106,zero_cinema_106,calibration-suite,case_16,scoring-calibration-v1,ru,16,movie,L5,zero_gold,zero_gold,scored,False,False,[],bad_zero_gold_behavior,[],low,"Ответ лишь предполагает отсутствие фильмов и не объясняет временную невозможность: режиссёр, родившийся после 2000 года, не мог снять фильм до 1980 года.",[],5.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,,,0.0,0.15,0.0,15.0,,,0.0,0.0,0.0,0.0
