benchmark_id,question_en_original,surface_template,question_type,reasoning_family,answer_mode,num_answers,num_evidences,num_supporting_facts,bridge_depth_estimate,domain_hint,reconstructability_score_v2,reconstruction_bucket_v2,pattern_count,pattern_score_max,pattern_score_mean,pattern_domains,manual_decision,manual_bucket,notes
2wiki_d8e5f5d6087011ebbd63ac1f6bf848b6,"Which film came out first, Demons Of The Mind or In The Land Of The Head Hunters?","which film came out first, demons of <ent>?",comparison,comparison,single,1,0,0,4,movies,5,drop,1,5.0,5.0,['movies'],,,
2wiki_e8c28d90085511ebbd59ac1f6bf848b6,"Are both Cathedral Basilica Of The Nativity Of The Blessed Virgin Mary, Tarnów and Church Of St. Johns, Vilnius located in the same country?","are both cathedral basilica of <ent>, tarnów and church of st. johns, vilnius located in <ent>?",comparison,comparison,single,1,0,0,3,history,4,drop,1,4.0,4.0,['history'],,,
2wiki_a95db437085511ebbd59ac1f6bf848b6,"Are both churches, Cathedral Of The Assumption Of The Blessed Virgin Mary, Rožňava and Bethlehem Church, located in the same country?","are both churches, cathedral of <ent>, rožňava and bethlehem church, located in <ent>?",comparison,comparison,single,1,0,0,3,history,4,drop,1,4.0,4.0,['history'],,,
2wiki_d4a9df0e08ff11ebbdadac1f6bf848b6,Are both Wizards of the Lost Kingdom II and Where in the World Is Osama bin Laden? from the same country?,are both wizards of <ent> osama bin laden? from <ent>?,comparison,comparison,single,1,0,0,3,history,4,drop,1,4.0,4.0,['history'],,,
2wiki_75f12b40085611ebbd59ac1f6bf848b6,"Are Church Of The Multiplication and Church Of The Messiah (Pulaski, Tennessee) located in the same country?","are church of <ent> (pulaski, tennessee) located in <ent>?",comparison,comparison,single,1,0,0,3,history,4,drop,1,4.0,4.0,['history'],,,
2wiki_6e74571a085711ebbd5aac1f6bf848b6,"Are Iglesia De Santa María (Arbazal) and Church Of The Nativity Of The Theotokos, Gaboš both located in the same country?","are iglesia de santa maría (arbazal) and church of <ent>, gaboš both located in <ent>?",comparison,comparison,single,1,0,0,3,history,4,drop,1,4.0,4.0,['history'],,,
2wiki_d4ab11de08b211ebbd85ac1f6bf848b6,"Do the movies In The Land Of The Head Hunters and Out Of The West, originate from the same country?","do <ent>and out of <ent>, originate from <ent>?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_62b39e73086611ebbd5eac1f6bf848b6,"Which film came out earlier, The Notorious Mrs. Carrick or I Know That You Know That I Know?","which film came out earlier, <ent>. carrick or i know that you know that i know?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_272e867e091d11ebbdaeac1f6bf848b6,"Which film came out earlier, The Flight In The Night or Deep In The Wood?","which film came out earlier, <ent>?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_d086294a095511ebbdaeac1f6bf848b6,"Which film came out earlier, Battle Of The Coral Sea (Film) or Rogue Of The Range?","which film came out earlier, battle of <ent> (film) or rogue of <ent>?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_59b56a22087911ebbd67ac1f6bf848b6,"Which film came out earlier, Cattle Drive or Pirates Of The Caribbean: The Curse Of The Black Pearl?","which film came out earlier, cattle drive or pirates of <ent>: <ent>?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_28f4c30c086e11ebbd62ac1f6bf848b6,"Which film came out earlier, Strategy Of Terror or The Lord Of The Rings: The Fellowship Of The Ring?","which film came out earlier, strategy of terror or <ent>: <ent>?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_e6ec1d6c08b911ebbd88ac1f6bf848b6,"Which film came out earlier, Tea In The Harem or Chairman Of The Board (Film)?","which film came out earlier, tea in <ent> (film)?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_cfebdd60088e11ebbd70ac1f6bf848b6,"Which film came out earlier, Tempest In The Flesh or Law Of The Lash?","which film came out earlier, tempest in <ent>?",comparison,comparison,single,0,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_aabdb95608c411ebbd8eac1f6bf848b6,"Which film came out earlier, Where Did You Get That Girl? or My Son John?","which film came out earlier, where did you get that girl? or my son john?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_f5e318fd089411ebbd75ac1f6bf848b6,"Which film came out earlier, White Sun Of The Desert or The Pursuit Of The Phantom?","which film came out earlier, white sun of <ent>?",comparison,comparison,single,0,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_43c80a2e088a11ebbd6fac1f6bf848b6,"Which film came out first, The Lord Of The Beasts or Dream Of The Rhine?","which film came out first, <ent>?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
2wiki_19ecad6a097d11ebbdb0ac1f6bf848b6,"Which film came out first, The King Of The Street Cleaners or When The Meteor Shot Across The Sky?","which film came out first, <ent>meteor shot across <ent>?",comparison,comparison,single,1,0,0,3,movies,4,drop,1,4.0,4.0,['movies'],,,
