benchmark_id,primary_reasoning_family,recommended_action,reconstructability_score_v2,program_signature,program_length,hop_count_estimate,question_en_original,answer_text,manual_decision,manual_bucket,russian_reconstruction_idea,target_domain_ru,notes
kqapro_train_013987,multi_hop,keep_for_reconstruction,26,Find -> Relate -> QFilterYear -> FilterConcept -> Find -> Relate -> Find -> And -> Relate -> FilterConcept -> And -> What,12,3,"Which big city was, in 1958, a twinned administrative body of Hamburg, and is the place of the story in Catch Me In You Can (the one that was nominated for Broadcast Film Critics Association Award for Best Film)?",Marseille,,,,,
kqapro_train_035873,multi_hop,keep_for_reconstruction,26,Find -> Relate -> Find -> And -> Relate -> FilterConcept -> Find -> Relate -> QFilterYear -> FilterConcept -> And -> What,12,3,Who is a cast member of "Taken" (which also has Desmond Harrington as a cast member) and won a Tony Award for Best Featured Actor in a Musical in 1990?,Michael Jeter,,,,,
kqapro_train_075279,multi_hop,keep_for_reconstruction,26,Find -> Relate -> Find -> And -> Relate -> FilterConcept -> Relate -> QFilterYear -> FilterConcept -> What,10,3,"What person is a member, starting in 2012, of the association football club whose headquarters location is Paris (that is the narrative location of The Expendables 2)?",Thiago Silva,,,,,
kqapro_train_075408,multi_hop,keep_for_reconstruction,25,FindAll -> FilterNum -> FilterConcept -> Find -> Relate -> Find -> And -> Relate -> QFilterDate -> FilterConcept -> And -> What,12,2,Which Japanese prefecture consists of more than 15 percent of water area and is the twinned administrative body of Shanghai (the one that is the twinned administrative body of Yokohama) since 21st November 1980 ?,Ōsaka Prefecture,,,,,
kqapro_train_076295,multi_hop,keep_for_reconstruction,25,Find -> Relate -> Find -> And -> Relate -> FilterConcept -> FindAll -> FilterNum -> QFilterYear -> FilterConcept -> And -> What,12,2,What New York county in New York (the one that is the release region of Monty Python and the Holy Grail) had a population of 48455 at the point in time of this statement which is 2013?,Greene County,,,,,
kqapro_train_035011,multi_hop,keep_for_reconstruction,25,Find -> Relate -> Find -> And -> Relate -> FilterConcept -> FindAll -> FilterDate -> QFilterStr -> FilterConcept -> And -> What,12,2,Which visual artwork has its narrative location in California (the filming location of An Alan Smithee Film: Burn Hollywood Burn) and was published on 1997-10-08 in Sweden?,Face/Off,,,,,
kqapro_train_085057,multi_hop,keep_for_reconstruction,25,Find -> Relate -> Find -> And -> Relate -> QFilterStr -> FilterConcept -> FindAll -> FilterYear -> FilterConcept -> And -> What,12,2,Which television series contains "Six Feet Under" (which has Patricia Heaton as a cast member and has a series ordinal of 44) and ended after 1882?,Everybody Loves Raymond,,,,,
kqapro_train_090128,multi_hop,keep_for_reconstruction,25,Find -> Relate -> QFilterYear -> FilterConcept -> Find -> FilterNum -> Relate -> FilterConcept -> And -> What,10,2,What person is the winner of the Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series in the year 2012 and is a cast member of Ben-Hur whose length is 125 minutes?,Jack Huston,,,,,
kqapro_val_007523,multi_hop,keep_for_reconstruction,25,Find -> Relate -> QFilterStr -> FilterConcept -> Find -> Relate -> FilterConcept -> And -> What,9,2,Which person received the Cannes Film Festival Award for Best Actor and received the Broadcast Film Critics Association Awards 2009?,Christoph Waltz,,,,,
kqapro_train_080370,multi_hop,keep_for_reconstruction,25,Find -> Relate -> Find -> And -> Find -> Relate -> Find -> And -> QueryRelationQualifier,9,2,What is the beginning date that Viacom (that is the owner of Paramount Pictures) is the parent company of Nickelodeon whose headquarters is located in New York City?,1986,,,,,
kqapro_train_093938,multi_hop,keep_for_reconstruction,25,Find -> Relate -> FilterConcept -> Find -> Relate -> QFilterYear -> FilterConcept -> And -> What,9,2,Which person received the 54th Annual Grammy Awards and won the MTV Video Music Award for Best Art Direction (the point in time of this statement is 2011)?,Adele,,,,,
kqapro_train_051875,multi_hop,keep_for_reconstruction,25,Find -> Relate -> FilterConcept -> Find -> Relate -> QFilterYear -> FilterConcept -> And -> What,9,2,What theatrical genre is situation comedy and was nominated for a Primetime Emmy Award for Outstanding Directing for a Comedy Series in the year 1968?,The Monkees,,,,,
kqapro_train_012433,multi_hop,keep_for_reconstruction,25,Find -> Relate -> FilterConcept -> Find -> Relate -> QFilterYear -> FilterConcept -> And -> What,9,2,What person is a participant in the First Continental Congress and is president of the United States of America until the ending date in 1801?,John Adams,,,,,
kqapro_train_024590,multi_hop,keep_for_reconstruction,25,Find -> Relate -> FilterConcept -> Find -> Relate -> QFilterYear -> FilterConcept -> And -> What,9,2,Which MTV Video MusicAward was nominated to Aaliyah and also to Alanis Morissette (the point in time of this statement is 2000) ?,MTV Video Music Award for Best Choreography,,,,,
kqapro_train_078807,logical_set,keep_for_reconstruction,21,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> FindAll -> FilterStr -> FilterConcept -> And -> What,9,1,What big city has a population that is less than 2900000000 (the point in time of this statement is 2010) and a Dewey Decimal Classification of 2--79493?,Pasadena,,,,,
kqapro_train_084257,logical_set,keep_for_reconstruction,21,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> FindAll -> FilterStr -> FilterConcept -> And -> What,9,1,Which administrative territorial entity has a population less than 63000000 in 1972 and an ISO 3166-1 numeric code of 136?,Cayman Islands,,,,,
kqapro_train_090019,logical_set,keep_for_reconstruction,21,FindAll -> FilterStr -> FilterConcept -> FindAll -> FilterNum -> QFilterYear -> FilterConcept -> And -> What,9,1,Which political party has an sRGB color hex triplet of 0087DC and a member count greater than 59000 (the point in time of this statement is 2013)?,Conservative Party,,,,,
kqapro_train_074826,logical_set,keep_for_reconstruction,21,FindAll -> FilterStr -> FilterConcept -> FindAll -> FilterNum -> QFilterYear -> FilterConcept -> And -> What,9,1,Who is the person with CANTIC-ID a10073449 and a net worth of greater than 380000000 U.S. dollars (the point in time of this statement is 2017)?,Johnny Depp,,,,,
kqapro_train_081043,logical_set,keep_for_reconstruction,21,FindAll -> FilterStr -> FilterConcept -> FindAll -> FilterNum -> QFilterYear -> FilterConcept -> And -> What,9,1,What is the name of the sovereign state whose demonym is jonguo and whose Human Development Index is less than 0.9 in 2014?,People's Republic of China,,,,,
kqapro_val_009265,logical_set,keep_for_reconstruction,21,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> FindAll -> FilterNum -> FilterConcept -> And -> What,9,1,"What country reached a population of 5762673 in 1983, and is known by having its nominal GDP per capital of 7500 USD?",Bolivia,,,,,
kqapro_train_061509,logical_set,keep_for_reconstruction,21,FindAll -> FilterYear -> FilterConcept -> FindAll -> FilterStr -> QFilterStr -> FilterConcept -> And -> What,9,1,What visual artwork was published after 1995 and titled 十面埋伏 (the transliteration of this statement is Shi mian mai fu) ?,House of Flying Daggers,,,,,
kqapro_train_088381,logical_set,keep_for_reconstruction,21,FindAll -> FilterNum -> FilterConcept -> FindAll -> FilterDate -> QFilterStr -> FilterConcept -> And -> What,9,1,What visual artwork is costing less than 240000000 USD and it was published in Hungary on 26th February 2009 ?,He's Just Not That into You,,,,,
kqapro_train_009429,logical_set,keep_for_reconstruction,21,FindAll -> FilterNum -> FilterConcept -> FindAll -> FilterNum -> QFilterDate -> FilterConcept -> And -> What,9,1,What big city's population is over 530000 and electorate is not 97000 (this statement's date is 2010-01-15)?,Makati,,,,,
kqapro_train_050839,logical_set,keep_for_reconstruction,21,FindAll -> FilterStr -> QFilterYear -> FilterConcept -> FindAll -> FilterNum -> FilterConcept -> And -> What,9,1,What film is the one whose exploitation visa number 28767 was in 1964 and whose duration is 148 minutes ?,Becket,,,,,
kqapro_val_008716,logical_set,keep_for_reconstruction,21,FindAll -> FilterNum -> FilterConcept -> FindAll -> FilterNum -> QFilterYear -> FilterConcept -> And -> What,9,1,What Louisiana parish's area is 1663 square kilometers and population is over 3.3 in the year 2015?,Jefferson Parish,,,,,
kqapro_train_089559,logical_set,keep_for_reconstruction,19,FindAll -> FilterStr -> FilterConcept -> FindAll -> FilterNum -> QFilterStr -> FilterConcept -> And -> What,9,1,Which United States state has the nickname Mother of the Presidents and Mother of the Statesmen and has a population greater than 0.8 (the determination method of this statement is census)?,Virginia,,,,,
kqapro_train_048912,qualifier,keep_for_reconstruction,17,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> Relate -> FilterConcept -> What,7,1,What national association football team belongs to the constitutional monarchy whose population is 35820705 (the point in time of this statement is 1969)?,Thailand national football team,,,,,
kqapro_train_089268,qualifier,keep_for_reconstruction,17,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> Relate -> FilterConcept -> What,7,1,Which video game developer is the child organization of the organization whose operating income was less than 1700000000 euros in 2015?,Gameloft,,,,,
kqapro_train_092484,qualifier,keep_for_reconstruction,17,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> Relate -> FilterConcept -> What,7,1,What Power Rangers originates in the sovereign state whose nominal GDP is 4346734000000 United States dollars in the year 1985?,Mighty Morphin Power Rangers,,,,,
kqapro_train_050852,qualifier,keep_for_reconstruction,17,FindAll -> FilterNum -> QFilterYear -> FilterConcept -> Relate -> FilterConcept -> What,7,1,"What engineering field is the part of an industry related to an agent whose total assets equalled 493,071,000,000 USD in 2015?",mechanical engineering,,,,,
kqapro_train_080908,qualifier,keep_for_reconstruction,17,FindAll -> FilterStr -> FilterConcept -> Relate -> QFilterStr -> FilterConcept -> What,7,1,"What animated feature film includes a voice actor, playing Rapunzel, whose Deutsche Synchronkartei actor-ID is 5701 ?",Shrek the Third,,,,,
kqapro_train_028104,qualifier,keep_for_reconstruction,17,FindAll -> FilterYear -> FilterConcept -> Relate -> QFilterStr -> FilterConcept -> What,7,1,What visual artwork received an award whose winner is Barrie M. Osborne at the the Academy Awards having a beginning date in the year 1929?,The Lord of the Rings: The Return of the King,,,,,
kqapro_train_086137,qualifier,keep_for_reconstruction,17,FindAll -> FilterYear -> FilterConcept -> Relate -> QFilterStr -> FilterConcept -> What,7,1,Which person was nominated for the award whose start time is before 1960 (the award-winning work of this statement is Death of a Salesman),Kevin McCarthy,,,,,
kqapro_train_085318,qualifier,keep_for_reconstruction,17,FindAll -> FilterYear -> FilterConcept -> Relate -> QFilterStr -> FilterConcept -> What,7,1,What work is part of the film series which was published in 2008 (the series ordinal of this statement is 1)?,Taken,,,,,
kqapro_train_019814,qualifier,keep_for_reconstruction,17,FindAll -> FilterYear -> FilterConcept -> Relate -> QFilterStr -> FilterConcept -> What,7,1,Who was the first overall draft pick of the National Basketabll Association Draft before 2004?,LeBron James,,,,,
kqapro_train_009875,qualifier,keep_for_reconstruction,17,FindAll -> FilterStr -> QFilterStr -> FilterConcept -> Relate -> FilterConcept -> What,7,1,What Roman deity is the origin of the calendar-month name whose series ordinal is 3?,Mars,,,,,
kqapro_train_020501,qualifier,keep_for_reconstruction,17,FindAll -> FilterStr -> FilterConcept -> Relate -> QFilterYear -> FilterConcept -> What,7,1,What person is the partner of the individual whose Deutsche Synchronkartei actor-ID is 3108 until the ending year 1993?,Harvey Keitel,,,,,
kqapro_train_092757,qualifier,keep_for_reconstruction,17,FindAll -> FilterStr -> QFilterYear -> FilterConcept -> Relate -> FilterConcept -> What,7,1,What person is the narrator of the visual artwork whose exploitation visa number is 95267 (the start date of this statement is in 1998)?,Johnny Depp,,,,,
kqapro_train_017656,qualifier,keep_for_reconstruction,17,FindAll -> FilterStr -> QFilterYear -> FilterConcept -> Relate -> FilterConcept -> What,7,1,Which land-grant university is located in a United-States state whose short name is SC (the start time of this statement is 1963)?,Clemson University,,,,,
kqapro_train_044690,qualifier,keep_for_reconstruction,17,FindAll -> FilterStr -> FilterConcept -> Relate -> QFilterDate -> FilterConcept -> What,7,1,What person is the spouse of the individual whose Deutsche Synchronkartei actor-ID is 8136 (this statement's start date is 1983-01-01)?,Jim Carter,,,,,
kqapro_train_053829,qualifier,keep_for_reconstruction,17,FindAll -> FilterStr -> FilterConcept -> Relate -> QFilterDate -> FilterConcept -> What,7,1,"Which town is, since 1st January 1956, the twinned administrative body of a big city whose local dialing code is 06131 ?",Watford,,,,,
kqapro_train_064200,qualifier,keep_for_reconstruction,17,FindAll -> FilterStr -> FilterConcept -> Relate -> QFilterDate -> FilterConcept -> What,7,1,What person was nominated for the literary award whose RIA Novosti reference is 54756131 on the date 1907-01-01?,Rudyard Kipling,,,,,
kqapro_val_004047,qualifier,keep_for_reconstruction,17,FindAll -> FilterStr -> QFilterDate -> FilterConcept -> Relate -> FilterConcept -> What,7,1,What person appears in the film whose exploitation visa number is 66874 (this statement's start date is 1990-03-16)?,Cyrano de Bergerac,,,,,
kqapro_train_087120,qualifier,keep_for_reconstruction,17,FindAll -> FilterNum -> QFilterDate -> FilterConcept -> Relate -> FilterConcept -> What,7,1,"Who is the person born in a state of India, with the population of 68,548,437 people on 1st January 2011?",Om Shivpuri,,,,,
kqapro_train_066912,temporal,keep_for_reconstruction,14,FindAll -> FilterStr -> FilterConcept -> Relate -> FilterConcept -> What,6,1,"Which university is in the city with zip codes 9010, 9011, 9012, 9013, 9014, 9016, 9018, 9022, 9023, 9024, 9035, 9076, 9077, 9081, 9082, and 9092?",University of Otago,,,,,
kqapro_train_046784,temporal,keep_for_reconstruction,14,FindAll -> FilterStr -> FilterConcept -> Relate -> FilterConcept -> What,6,1,What film was narrated by the person whose audio recording voice was Geoffrey Rush bbc radio4 front row 01 05 2013.flac?,Oscar and Lucinda,,,,,
kqapro_train_038298,temporal,keep_for_reconstruction,14,FindAll -> FilterDate -> FilterConcept -> Relate -> FilterConcept -> What,6,1,Which college of the University of Oxford is the education place of the human whose date of death is on 1636-04-18?,Magdalen College,,,,,
kqapro_train_000448,temporal,keep_for_reconstruction,14,FindAll -> FilterDate -> FilterConcept -> Relate -> FilterConcept -> What,6,1,What legislative term does the United States Congress follow whose start time is on 2009-01-03?,110th United States Congress,,,,,
kqapro_train_074231,temporal,keep_for_reconstruction,14,FindAll -> FilterYear -> FilterConcept -> Relate -> FilterConcept -> What,6,1,What star is the parent astronomical body of the inner planet whose discovery/invention date is before -1534?,Sun,,,,,
kqapro_train_091936,temporal,keep_for_reconstruction,14,FindAll -> FilterYear -> FilterConcept -> Relate -> FilterConcept -> What,6,1,What public company is the parent organization of the video game developer whose beginning date is in 1955?,Bandai Namco Holdings,,,,,
kqapro_train_033032,temporal,keep_for_reconstruction,14,FindAll -> FilterYear -> FilterConcept -> Relate -> FilterConcept -> What,6,1,What American city shares a border with a New Jersey city established before 1997?,Pleasantville,,,,,
kqapro_train_057967,temporal,keep_for_reconstruction,14,FindAll -> FilterNum -> FilterConcept -> Relate -> FilterConcept -> What,6,1,Which individual's workplace is the historic English county under 8900 square kilometres in size?,Stephen Dillane,,,,,
kqapro_train_072839,temporal,keep_for_reconstruction,11,Find -> FilterDate -> Relate -> FilterConcept -> QueryAttr,5,1,What is the Hornbostel-Sachs classification for the class of instruments that is the instrument used by Chris Wood (the one whose date of birth is 1969-11-25)?,321.322-71,,,,,
kqapro_train_078977,temporal,keep_for_reconstruction,11,Find -> FilterDate -> Relate -> FilterConcept -> QueryAttr,5,1,What is the IAB code of the science fiction sharing the same genre as Battlestar Galactica (the one whose date of first performance is 2004-10-18)?,652,,,,,
kqapro_train_044344,temporal,keep_for_reconstruction,11,Find -> FilterNum -> Relate -> FilterConcept -> QueryAttr,5,1,What is the British Museum person-institution of the person who is the origin of the name Monroe County (the one whose area is 9679 square kilometre) ?,93341,,,,,
kqapro_train_020857,temporal,keep_for_reconstruction,11,Find -> FilterNum -> Relate -> FilterConcept -> QueryAttr,5,1,What is the establishment date of the United States city that is the capital of Middlesex County whose area is 1137 square kilometers?,1651,,,,,
kqapro_train_007953,temporal,keep_for_reconstruction,11,Find -> FilterStr -> Relate -> FilterConcept -> QueryAttr,5,1,What is the ISO 3166-2 code for the administrative territorial entity that is different from Falkirk (the one whose local dialing code is 01324)?,GB-FAL,,,,,
kqapro_train_048325,comparison_or_superlative,keep_for_reconstruction,13,Find -> FilterNum -> Relate -> FilterConcept -> SelectAmong,5,1,Which one has the largest elevation above sea level between the states of Germany that shares border with Saxony-Anhalt (the one whose nominal GDP per capita is 24000 euro)?,Saxony,,,,,
kqapro_val_002809,comparison_or_superlative,keep_for_reconstruction,13,Find -> FilterNum -> Relate -> FilterConcept -> SelectAmong,5,1,Which Ireland county that is an administrative division of Ireland (whose nominal GDP is 21500472054.5495 United States dollars) has the largest area?,County Cork,,,,,
kqapro_train_087585,comparison_or_superlative,keep_for_reconstruction,13,Find -> FilterStr -> Relate -> FilterConcept -> SelectAmong,5,1,Which has the largest population among the former French regions that share a border with Lorraine (whose Dewey Decimal Classification is 2--4438)?,Alsace,,,,,
kqapro_train_039318,comparison_or_superlative,keep_for_reconstruction,13,Find -> FilterDate -> Relate -> FilterConcept -> SelectAmong,5,1,Which among the California counties is an administrative division of California (the one whose inception time is 1850-09-09) with the largest area?,Mariposa County,,,,,
kqapro_train_040051,comparison_or_superlative,keep_for_reconstruction,13,Find -> FilterYear -> Relate -> FilterConcept -> SelectAmong,5,1,Which has the largest area among the Indiana counties that share a border with Marion County (which began in 1822)?,Boone County,,,,, 
kqapro_train_071599,logical_set,keep_for_reconstruction,21,FindAll -> FilterYear -> QFilterStr -> FilterConcept -> FindAll -> FilterStr -> FilterConcept -> And -> What,9,1,Which movie was published in Germany after 1979 and that has 57759 as its exploitation visa number?,Superman III,,,,,
kqapro_train_056260,logical_set,keep_for_reconstruction,21,FindAll -> FilterYear -> QFilterStr -> FilterConcept -> FindAll -> FilterStr -> FilterConcept -> And -> What,9,1,Which film was published after 2006 in Germany and has the exploitation visa number 118477?,Lebanon,,,,,
kqapro_train_071641,logical_set,keep_for_reconstruction,21,FindAll -> FilterDate -> QFilterStr -> FilterConcept -> FindAll -> FilterYear -> FilterConcept -> And -> What,9,1,Which movie released in the USA on 1994-07-15 was released prior to 2007?,True Lies,,,,,
kqapro_train_029626,qualifier,keep_for_reconstruction,17,FindAll -> FilterStr -> FilterConcept -> Relate -> QFilterYear -> FilterConcept -> What,7,1,What first-level administrative country subdivision contains the big city whose official name is Graz starting in the year 1918?,Styria,,,,,
kqapro_val_006524,qualifier,keep_for_reconstruction,17,FindAll -> FilterStr -> QFilterDate -> FilterConcept -> Relate -> FilterConcept -> What,7,1,Which city is the capital of the province of China it's ISO 3166-2 code is CN-HB inception time of this statement is 2017-11-23?,Wuhan,,,,,
kqapro_train_019036,qualifier,keep_for_reconstruction,17,FindAll -> FilterStr -> QFilterDate -> FilterConcept -> Relate -> FilterConcept -> What,7,1,Which public university is headquartered in the city assigned NUTS code UKE21 on 1999-01-01?,University of York,,,,,
kqapro_train_078180,temporal,keep_for_reconstruction,14,FindAll -> FilterStr -> FilterConcept -> Relate -> FilterConcept -> What,6,1,What United States city is the capital of one of the the county and has the Dewey Decimal Classification of 2--74461?,Boston,,,,,
kqapro_train_093398,temporal,keep_for_reconstruction,14,FindAll -> FilterStr -> FilterConcept -> Relate -> FilterConcept -> What,6,1,Which higher education institution is the education place of the person whose Deutsche Synchronkartei actor-ID is 4417?,DePaul University,,,,,
kqapro_train_007964,temporal,keep_for_reconstruction,14,FindAll -> FilterNum -> FilterConcept -> Relate -> FilterConcept -> What,6,1,What public company develops the aircraft-functional class with an item-produced quantity of 1527?,Airbus,,,,,
