benchmark_id,source_dataset,source_split,question_en_original,question_type,reasoning_family,answer_mode,num_answers,num_evidences,num_supporting_facts,reconstructability_score_v2,translation_ready_text,needs_translation,needs_rephrase
2wiki_d8e5f5d6087011ebbd63ac1f6bf848b6,2wikimultihopqa,dev,"Which film came out first, Demons Of The Mind or In The Land Of The Head Hunters?",comparison,comparison,single,1,0,0,5,"Which film came out first, Demons Of The Mind or In The Land Of The Head Hunters?",True,True
2wiki_e8c28d90085511ebbd59ac1f6bf848b6,2wikimultihopqa,train,"Are both Cathedral Basilica Of The Nativity Of The Blessed Virgin Mary, Tarnów and Church Of St. Johns, Vilnius located in the same country?",comparison,comparison,single,1,0,0,4,"Are both Cathedral Basilica Of The Nativity Of The Blessed Virgin Mary, Tarnów and Church Of St. Johns, Vilnius located in the same country?",True,True
2wiki_a95db437085511ebbd59ac1f6bf848b6,2wikimultihopqa,train,"Are both churches, Cathedral Of The Assumption Of The Blessed Virgin Mary, Rožňava and Bethlehem Church, located in the same country?",comparison,comparison,single,1,0,0,4,"Are both churches, Cathedral Of The Assumption Of The Blessed Virgin Mary, Rožňava and Bethlehem Church, located in the same country?",True,True
2wiki_d4a9df0e08ff11ebbdadac1f6bf848b6,2wikimultihopqa,train,Are both Wizards of the Lost Kingdom II and Where in the World Is Osama bin Laden? from the same country?,comparison,comparison,single,1,0,0,4,Are both Wizards of the Lost Kingdom II and Where in the World Is Osama bin Laden? from the same country?,True,True
2wiki_75f12b40085611ebbd59ac1f6bf848b6,2wikimultihopqa,train,"Are Church Of The Multiplication and Church Of The Messiah (Pulaski, Tennessee) located in the same country?",comparison,comparison,single,1,0,0,4,"Are Church Of The Multiplication and Church Of The Messiah (Pulaski, Tennessee) located in the same country?",True,True
2wiki_6e74571a085711ebbd5aac1f6bf848b6,2wikimultihopqa,train,"Are Iglesia De Santa María (Arbazal) and Church Of The Nativity Of The Theotokos, Gaboš both located in the same country?",comparison,comparison,single,1,0,0,4,"Are Iglesia De Santa María (Arbazal) and Church Of The Nativity Of The Theotokos, Gaboš both located in the same country?",True,True
2wiki_d4ab11de08b211ebbd85ac1f6bf848b6,2wikimultihopqa,train,"Do the movies In The Land Of The Head Hunters and Out Of The West, originate from the same country?",comparison,comparison,single,1,0,0,4,"Do the movies In The Land Of The Head Hunters and Out Of The West, originate from the same country?",True,True
2wiki_62b39e73086611ebbd5eac1f6bf848b6,2wikimultihopqa,train,"Which film came out earlier, The Notorious Mrs. Carrick or I Know That You Know That I Know?",comparison,comparison,single,1,0,0,4,"Which film came out earlier, The Notorious Mrs. Carrick or I Know That You Know That I Know?",True,True
2wiki_272e867e091d11ebbdaeac1f6bf848b6,2wikimultihopqa,train,"Which film came out earlier, The Flight In The Night or Deep In The Wood?",comparison,comparison,single,1,0,0,4,"Which film came out earlier, The Flight In The Night or Deep In The Wood?",True,True
2wiki_d086294a095511ebbdaeac1f6bf848b6,2wikimultihopqa,train,"Which film came out earlier, Battle Of The Coral Sea (Film) or Rogue Of The Range?",comparison,comparison,single,1,0,0,4,"Which film came out earlier, Battle Of The Coral Sea (Film) or Rogue Of The Range?",True,True
2wiki_59b56a22087911ebbd67ac1f6bf848b6,2wikimultihopqa,train,"Which film came out earlier, Cattle Drive or Pirates Of The Caribbean: The Curse Of The Black Pearl?",comparison,comparison,single,1,0,0,4,"Which film came out earlier, Cattle Drive or Pirates Of The Caribbean: The Curse Of The Black Pearl?",True,True
2wiki_28f4c30c086e11ebbd62ac1f6bf848b6,2wikimultihopqa,train,"Which film came out earlier, Strategy Of Terror or The Lord Of The Rings: The Fellowship Of The Ring?",comparison,comparison,single,1,0,0,4,"Which film came out earlier, Strategy Of Terror or The Lord Of The Rings: The Fellowship Of The Ring?",True,True
2wiki_e6ec1d6c08b911ebbd88ac1f6bf848b6,2wikimultihopqa,train,"Which film came out earlier, Tea In The Harem or Chairman Of The Board (Film)?",comparison,comparison,single,1,0,0,4,"Which film came out earlier, Tea In The Harem or Chairman Of The Board (Film)?",True,True
2wiki_cfebdd60088e11ebbd70ac1f6bf848b6,2wikimultihopqa,test,"Which film came out earlier, Tempest In The Flesh or Law Of The Lash?",comparison,comparison,single,0,0,0,4,"Which film came out earlier, Tempest In The Flesh or Law Of The Lash?",True,True
2wiki_aabdb95608c411ebbd8eac1f6bf848b6,2wikimultihopqa,dev,"Which film came out earlier, Where Did You Get That Girl? or My Son John?",comparison,comparison,single,1,0,0,4,"Which film came out earlier, Where Did You Get That Girl? or My Son John?",True,True
2wiki_f5e318fd089411ebbd75ac1f6bf848b6,2wikimultihopqa,test,"Which film came out earlier, White Sun Of The Desert or The Pursuit Of The Phantom?",comparison,comparison,single,0,0,0,4,"Which film came out earlier, White Sun Of The Desert or The Pursuit Of The Phantom?",True,True
2wiki_43c80a2e088a11ebbd6fac1f6bf848b6,2wikimultihopqa,train,"Which film came out first, The Lord Of The Beasts or Dream Of The Rhine?",comparison,comparison,single,1,0,0,4,"Which film came out first, The Lord Of The Beasts or Dream Of The Rhine?",True,True
2wiki_19ecad6a097d11ebbdb0ac1f6bf848b6,2wikimultihopqa,train,"Which film came out first, The King Of The Street Cleaners or When The Meteor Shot Across The Sky?",comparison,comparison,single,1,0,0,4,"Which film came out first, The King Of The Street Cleaners or When The Meteor Shot Across The Sky?",True,True
