benchmark_id,source_dataset,source_split,source_example_id,import_mode,use_role,question_ru,question_en_original,reasoning_type,hop_count,expected_cardinality,is_answerable,gold_qids,formal_query
ext_mkqa_train_3051930912491995402,MKQA,train,3051930912491995402,paraphrase_transfer,wording_donor,как долго строились башни-близнецы,how long did it take the twin towers to be built,single_hop_or_simple_open_qa,,1,True,,
ext_mkqa_train_6277735658261425592,MKQA,train,6277735658261425592,paraphrase_transfer,wording_donor,откуда взялась фраза great scott,where did the phrase great scott come from,single_hop_or_simple_open_qa,,1,True,,
ext_mkqa_train_-4766029169354683727,MKQA,train,-4766029169354683727,paraphrase_transfer,wording_donor,кто поёт love you like there's no tomorrow,who sings love you like there's no tomorrow,single_hop_or_simple_open_qa,,1,True,Q952176,
ext_mkqa_train_-5007314435785513023,MKQA,train,-5007314435785513023,paraphrase_transfer,wording_donor,сколкьо всего сезонов в королевах крика,how many seasons of scream queens are there,single_hop_or_simple_open_qa,,1,True,,
ext_mkqa_train_-6261874607090673789,MKQA,train,-6261874607090673789,paraphrase_transfer,wording_donor,сколько серий в сезоне очень странных дел,how many episodes in a season of stranger things,count,,1,True,,
ext_mkqa_train_563260143484355911,MKQA,train,563260143484355911,paraphrase_transfer,wording_donor,кто поет i hear you knocking but you can't come in,who sings i hear you knocking but you can't come in,single_hop_or_simple_open_qa,,1,True,Q545186,
ext_mkqa_train_5144765284694516156,MKQA,train,5144765284694516156,paraphrase_transfer,wording_donor,кто придумал шоу голос,who came up with the show the voice,single_hop_or_simple_open_qa,,1,True,Q470847,
ext_mkqa_train_8201177426304478596,MKQA,train,8201177426304478596,paraphrase_transfer,wording_donor,откуда логотип Старбакса произошел,where did the logo for starbucks come from,single_hop_or_simple_open_qa,,1,True,,
ext_mkqa_train_8783251888656509590,MKQA,train,8783251888656509590,paraphrase_transfer,wording_donor,когда рэмс играли в супербоуле,when did the rams play in the super bowl,temporal_or_duration,,1,True,,
ext_mkqa_train_-1788552224102144217,MKQA,train,-1788552224102144217,paraphrase_transfer,wording_donor,кто пел песню oh what a night,who sang the song oh what a night,single_hop_or_simple_open_qa,,1,True,Q687785,
ext_mkqa_train_6515983275149803151,MKQA,train,6515983275149803151,paraphrase_transfer,wording_donor,Кто пел i want to be with you everywhere,who sang i want to be with you everywhere,single_hop_or_simple_open_qa,,1,True,Q106648,
ext_mkqa_train_5146730298316782239,MKQA,train,5146730298316782239,paraphrase_transfer,wording_donor,кто играл mary magdalene в jesus christ superstar,who played mary magdalene in jesus christ superstar,single_hop_or_simple_open_qa,,1,True,Q257182,
ext_mkqa_train_3215481144081056949,MKQA,train,3215481144081056949,paraphrase_transfer,wording_donor,кто написал Книгу Причитаний в Библии,who wrote the book of lamentations in the bible,single_hop_or_simple_open_qa,,1,True,Q158825,
ext_mkqa_train_-4767536963343233422,MKQA,train,-4767536963343233422,paraphrase_transfer,wording_donor,у кого больше всего подписчиков в Instagram,who has the most instagram followers on instagram,comparison_or_superlative,,1,True,Q11571,
ext_mkqa_train_4412615293667765975,MKQA,train,4412615293667765975,paraphrase_transfer,wording_donor,ккая серия сериала офис называется the roast,what episode of the office is the roast,single_hop_or_simple_open_qa,,1,True,Q7623434,
ext_mkqa_train_234131699687376880,MKQA,train,234131699687376880,paraphrase_transfer,wording_donor,кто в мире производит больше всего фисташек,who produces the most pistachios in the world,comparison_or_superlative,,1,True,Q794,
ext_mkqa_train_7818112641371223126,MKQA,train,7818112641371223126,paraphrase_transfer,wording_donor,как называется стадион the arizona cardinals,what is the name of the arizona cardinals stadium,single_hop_or_simple_open_qa,,1,True,Q756433,
ext_mkqa_train_-8427890242698542167,MKQA,train,-8427890242698542167,paraphrase_transfer,wording_donor,"Кто спел ""i've never been to me""",who sang i've never been to me,single_hop_or_simple_open_qa,,1,True,Q843292,
ext_mkqa_train_7031295060348389198,MKQA,train,7031295060348389198,paraphrase_transfer,wording_donor,у мэри был маленький ягненок маленький ягненок маленький ягненок у мэри был маленький ягненок,mary had a little lamb little lamb little lamb mary had a little lamb,single_hop_or_simple_open_qa,,1,False,,
ext_mkqa_train_3716943449734480322,MKQA,train,3716943449734480322,paraphrase_transfer,wording_donor,кто спел let's go all the way,who sang let's go all the way,single_hop_or_simple_open_qa,,1,True,Q2294786,
ext_mkqa_train_3309140698422618645,MKQA,train,3309140698422618645,paraphrase_transfer,wording_donor,кто выиграл america's got talent в 2015 году,who won america's got talent in 2015,temporal_or_duration,,1,True,Q7154545,
ext_mkqa_train_-9076241233720583121,MKQA,train,-9076241233720583121,paraphrase_transfer,wording_donor,возрастной лимит для girl scouts,what is the age limit for girl scouts,single_hop_or_simple_open_qa,,1,True,,
ext_mkqa_train_3749394332280061531,MKQA,train,3749394332280061531,paraphrase_transfer,wording_donor,когда вышла монета фунта,when did the new pound coin come out,temporal_or_duration,,1,True,,
ext_mkqa_train_-9075218135116230593,MKQA,train,-9075218135116230593,paraphrase_transfer,wording_donor,Как называются семь континентов мира,what are the names of the seven continents of the world,single_hop_or_simple_open_qa,,1,True,,
