benchmark_id,source_dataset,source_split,source_example_id,import_mode,use_role,question_ru,question_en_original,reasoning_type,hop_count,expected_cardinality,is_answerable,gold_qids,formal_query
ext_mkqa_train_7960403399608384663,MKQA,train,7960403399608384663,template_transfer,reconstruction_candidate,когда в последний раз the lakers вышли в плейофф,when was the last time the lakers made the playoffs,"comparison_or_superlative, temporal_or_duration",,1,True,,
ext_mkqa_train_-2985814541728632412,MKQA,train,-2985814541728632412,template_transfer,reconstruction_candidate,когда начался и закончился период Дикого Запада,when did the wild west start and end,"temporal_or_duration, set_intersection_or_multi_constraint",,2,True,,
ext_mkqa_train_-1881286304870722165,MKQA,train,-1881286304870722165,template_transfer,reconstruction_candidate,сколько штатов покрывают Скалистые горы,how many states does the rocky mountains cover,count,,2,True,,
ext_mkqa_train_-3407656036949886841,MKQA,train,-3407656036949886841,template_transfer,reconstruction_candidate,когда в последний раз steelers играли с panthers,when was the last time the steelers played the panthers,"comparison_or_superlative, temporal_or_duration",,1,True,,
ext_mkqa_train_476368974337766528,MKQA,train,476368974337766528,template_transfer,reconstruction_candidate,Когда последний раз Республиканцы выигрывали народное голосование,when was the last time republicans won the popular vote,"comparison_or_superlative, temporal_or_duration",,1,True,,
ext_mkqa_train_-8853507693210218570,MKQA,train,-8853507693210218570,template_transfer,reconstruction_candidate,когда в последний раз cubs выигрывали мировые серии,when was the last time the cubs won the world series,"comparison_or_superlative, temporal_or_duration",,1,True,,
ext_mkqa_train_-5553927247739165705,MKQA,train,-5553927247739165705,template_transfer,reconstruction_candidate,Когда в последний раз в Конституцию вносились поправки,when is the last time the constitution was amended,"comparison_or_superlative, temporal_or_duration",,1,True,,
ext_mkqa_train_-4166868313835054376,MKQA,train,-4166868313835054376,template_transfer,reconstruction_candidate,Кто является персонажами в Поющие под дождём,who were the characters in singing in the rain,single_hop_or_simple_open_qa,,3,True,"Q348345, Q73089, Q235744",
ext_mkqa_train_7295881644912577718,MKQA,train,7295881644912577718,template_transfer,reconstruction_candidate,кто поет i'll make a man out of you,who sings i'll make a man out of you,single_hop_or_simple_open_qa,,2,True,"Q386053, Q5296743",
ext_mkqa_train_-2195102395835349783,MKQA,train,-2195102395835349783,template_transfer,reconstruction_candidate,когда Том Брэди выиграл своё первое кольцо,when did tom brady win his first ring,"comparison_or_superlative, temporal_or_duration",,1,True,,
