benchmark_id,source_dataset,source_split,source_id,question_en_original,category,complexity_type,reasoning_family,answer_type,answer_mode,answer_text_en,num_answers,priority_score,needs_translation,needs_rephrase
mintaka_test_4af81c8c,mintaka,test,4af81c8c,Which awards was the latest Animal Crossing game nominated for at The Game Awards 2020?,videogames,multihop,multihop,entity,list_like,"Best Family Game, Best Multiplayer Game, Game of the Year",3,10,True,True
mintaka_test_63690199,mintaka,test,63690199,Who produced the movie that's based on the Harry Potter book released in 2004?,books,multihop,multihop,entity,list_like,"Chris Columbus, David Heyman, Mark Radcliffe",3,10,True,True
mintaka_train_11dfec2b,mintaka,train,11dfec2b,Where was the oldest member of The Rolling Stones born?,music,multihop,multihop,entity,list_like,"Lewisham, London, England",3,10,True,True
mintaka_train_29e5bf22,mintaka,train,29e5bf22,Who were the playable characters of the fourth Grand Theft Auto game and its expansions?,videogames,multihop,multihop,entity,list_like,"Niko Bellic, Johnny Klebitz, Luis Fernando Lopez",3,10,True,True
mintaka_train_34409836,mintaka,train,34409836,Where was the former member of One Direction born?,music,multihop,multihop,entity,list_like,"Bradford, West Yorkshire, England",3,10,True,True
mintaka_train_724db5c0,mintaka,train,724db5c0,Where was the singer of Back in Black born?,music,multihop,multihop,entity,list_like,"Dunston, County Durham, England",3,10,True,True
mintaka_train_91c7335e,mintaka,train,91c7335e,Who are the love interests in Mass Effect 1?,videogames,multihop,multihop,entity,list_like,"Kaidan Alenko, Ashley Williams, Liara T'Soni",3,10,True,True
mintaka_train_b5103288,mintaka,train,b5103288,Where was Los Angeles Angels' two-way star born?,sports,multihop,multihop,entity,list_like,"Oshu, Iwate, Japan",3,10,True,True
mintaka_test_031c5618,mintaka,test,031c5618,Where is the lead singer of The Backstreet Boys from originally?,music,multihop,multihop,entity,list_like,"Lexington, Kentucky",2,10,True,True
mintaka_test_4f65e7e6,mintaka,test,4f65e7e6,Where was the captain of the US women's national ice hockey team that won a gold medal in 2018 Winter Olympics born?,sports,multihop,multihop,entity,list_like,"Danvers, Massachusetts.",2,10,True,True
mintaka_test_5bd63af8,mintaka,test,5bd63af8,Who were the first two senators to represent the latest state added to the Union?,politics,multihop,multihop,entity,list_like,Hiram Fong and Oren E. Long,2,10,True,True
mintaka_test_655db184,mintaka,test,655db184,Who was the pitcher for the winning team in the first World Series?,sports,multihop,multihop,entity,list_like,Bill Dinneen and Cy Young,2,10,True,True
mintaka_test_7215395f,mintaka,test,7215395f,Where is the 2020 AL MVP from?,sports,multihop,multihop,entity,list_like,"Cruces, Cuba",2,10,True,True
mintaka_test_a63f4fcf,mintaka,test,a63f4fcf,Where was the author who wrote the Jurassic Park books born?,books,multihop,multihop,entity,list_like,"Chicago, IL",2,10,True,True
mintaka_test_b918587b,mintaka,test,b918587b,Where was the quarterback of the Detroit Lions born?,sports,multihop,multihop,entity,list_like,"Novato, California",2,10,True,True
mintaka_train_05e10f57,mintaka,train,05e10f57,Where was the first president of the United States born?,history,multihop,multihop,entity,list_like,"Westmoreland County, Virginia",2,10,True,True
mintaka_train_08cbd2e7,mintaka,train,08cbd2e7,Which wives of US presidents were also mothers of US presidents?,history,multihop,multihop,entity,list_like,"Abagail Adams, Barbara Bush",2,10,True,True
mintaka_train_0f501f46,mintaka,train,0f501f46,Who co-collaborated on the script for The Godfather?,books,multihop,multihop,entity,list_like,Mario Puzo Francis Ford Coppola,2,10,True,True
mintaka_train_19f244a1,mintaka,train,19f244a1,Who was the wife of the 10th US president?,politics,multihop,multihop,entity,list_like,Letitia & Julia Tyler,2,10,True,True
mintaka_train_2c1804b1,mintaka,train,2c1804b1,In Kingdom Hearts what is the name of Sora's Nobody's best friends?,videogames,multihop,multihop,entity,list_like,Xion and Axel,2,10,True,True
mintaka_train_37f55556,mintaka,train,37f55556,Where was the author of The Hobbit born?,books,multihop,multihop,entity,list_like,"Bloemfontein, South Africa",2,10,True,True
mintaka_train_4597be90,mintaka,train,4597be90,Where is the actor who played Agent Kay in Men in Black from?,movies,multihop,multihop,entity,list_like,"San Saba, Texas",2,10,True,True
mintaka_train_5a89694c,mintaka,train,5a89694c,Where is the actor who played Seong Gi-hun in Squid Game from?,movies,multihop,multihop,entity,list_like,"Seoul, South Korea",2,10,True,True
mintaka_train_76dc240c,mintaka,train,76dc240c,What platforms can the first Animal Crossing mobile game be played on?,videogames,multihop,multihop,entity,list_like,"Android, iOS",2,10,True,True
mintaka_train_7ab42179,mintaka,train,7ab42179,Where was the head coach of Real Madrid CF born?,sports,multihop,multihop,entity,list_like,"Reggiolo, Italy",2,10,True,True
mintaka_train_834be5cf,mintaka,train,834be5cf,Where was the quarterback of the team that won Super Bowl 46 born?,sports,multihop,multihop,entity,list_like,"San Mateo, CA",2,10,True,True
mintaka_train_884cadba,mintaka,train,884cadba,Where was the quarterback of the New England Patriots in 2017 born?,sports,multihop,multihop,entity,list_like,"San Mateo, CA",2,10,True,True
