source_id,benchmark_id,source_dataset,source_split,question_en_original,answer_text,answer_mode,primary_reasoning_family,program_signature,program_length,hop_count_estimate,reconstructability_score_v2,domain,target_domain_ru,manual_decision,manual_bucket,russian_reconstruction_idea,notes,needs_translation,needs_rephrase,translation_source_text,translation_target_language,translation_instruction,translation_stage,rephrase_source_language,rephrase_mode
kqapro_train_013987,kqapro_train_013987,kqapro,train,"Which big city was, in 1958, a twinned administrative body of Hamburg, and is the place of the story in Catch Me In You Can (the one that was nominated for Broadcast Film Critics Association Award for Best Film)?",Marseille,single,multi_hop,Find -> Relate -> QFilterYear -> FilterConcept -> Find -> Relate -> Find -> And -> Relate -> FilterConcept -> And -> What,12,3,26,,,,,,,True,True,"Which big city was, in 1958, a twinned administrative body of Hamburg, and is the place of the story in Catch Me In You Can (the one that was nominated for Broadcast Film Critics Association Award for Best Film)?",ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_035873,kqapro_train_035873,kqapro,train,Who is a cast member of Taken (which also has Desmond Harrington as a cast member) and won a Tony Award for Best Featured Actor in a Musical in 1990?,Michael Jeter,single,multi_hop,Find -> Relate -> Find -> And -> Relate -> FilterConcept -> Find -> Relate -> QFilterYear -> FilterConcept -> And -> What,12,3,26,,,,,,,True,True,Who is a cast member of Taken (which also has Desmond Harrington as a cast member) and won a Tony Award for Best Featured Actor in a Musical in 1990?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_075279,kqapro_train_075279,kqapro,train,"What person is a member, starting in 2012, of the association football club whose headquarters location is Paris (that is the narrative location of The Expendables 2)?",Thiago Silva,single,multi_hop,Find -> Relate -> Find -> And -> Relate -> FilterConcept -> Relate -> QFilterYear -> FilterConcept -> What,10,3,26,,,,,,,True,True,"What person is a member, starting in 2012, of the association football club whose headquarters location is Paris (that is the narrative location of The Expendables 2)?",ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_075408,kqapro_train_075408,kqapro,train,Which Japanese prefecture consists of more than 15 percent of water area and is the twinned administrative body of Shanghai (the one that is the twinned administrative body of Yokohama) since 21st November 1980 ?,Ōsaka Prefecture,single,multi_hop,FindAll -> FilterNum -> FilterConcept -> Find -> Relate -> Find -> And -> Relate -> QFilterDate -> FilterConcept -> And -> What,12,2,25,,,,,,,True,True,Which Japanese prefecture consists of more than 15 percent of water area and is the twinned administrative body of Shanghai (the one that is the twinned administrative body of Yokohama) since 21st November 1980 ?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_076295,kqapro_train_076295,kqapro,train,What New York county in New York (the one that is the release region of Monty Python and the Holy Grail) had a population of 48455 at the point in time of this statement which is 2013?,Greene County,single,multi_hop,Find -> Relate -> Find -> And -> Relate -> FilterConcept -> FindAll -> FilterNum -> QFilterYear -> FilterConcept -> And -> What,12,2,25,,,,,,,True,True,What New York county in New York (the one that is the release region of Monty Python and the Holy Grail) had a population of 48455 at the point in time of this statement which is 2013?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_035011,kqapro_train_035011,kqapro,train,Which visual artwork has its narrative location in California (the filming location of An Alan Smithee Film: Burn Hollywood Burn) and was published on 1997-10-08 in Sweden?,Face/Off,single,multi_hop,Find -> Relate -> Find -> And -> Relate -> FilterConcept -> FindAll -> FilterDate -> QFilterStr -> FilterConcept -> And -> What,12,2,25,,,,,,,True,True,Which visual artwork has its narrative location in California (the filming location of An Alan Smithee Film: Burn Hollywood Burn) and was published on 1997-10-08 in Sweden?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_085057,kqapro_train_085057,kqapro,train,Which television series contains Six Feet Under (which has Patricia Heaton as a cast member and has a series ordinal of 44) and ended after 1882?,Everybody Loves Raymond,single,multi_hop,Find -> Relate -> Find -> And -> Relate -> QFilterStr -> FilterConcept -> FindAll -> FilterYear -> FilterConcept -> And -> What,12,2,25,,,,,,,True,True,Which television series contains Six Feet Under (which has Patricia Heaton as a cast member and has a series ordinal of 44) and ended after 1882?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_090128,kqapro_train_090128,kqapro,train,What person is the winner of the Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series in the year 2012 and is a cast member of Ben-Hur whose length is 125 minutes?,Jack Huston,single,multi_hop,Find -> Relate -> QFilterYear -> FilterConcept -> Find -> FilterNum -> Relate -> FilterConcept -> And -> What,10,2,25,,,,,,,True,True,What person is the winner of the Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series in the year 2012 and is a cast member of Ben-Hur whose length is 125 minutes?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_val_007523,kqapro_val_007523,kqapro,val,Which person received the Cannes Film Festival Award for Best Actor (the award-winning work of this statement is Inglourious Basterds) and received the Broadcast Film Critics Association Awards 2009?,Christoph Waltz,single,multi_hop,Find -> Relate -> QFilterStr -> FilterConcept -> Find -> Relate -> FilterConcept -> And -> What,9,2,25,,,,,,,True,True,Which person received the Cannes Film Festival Award for Best Actor (the award-winning work of this statement is Inglourious Basterds) and received the Broadcast Film Critics Association Awards 2009?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
kqapro_train_080370,kqapro_train_080370,kqapro,train,What is the beginning date that Viacom (that is the owner of Paramount Pictures) is the parent company of Nickelodeon whose headquarters is located in New York City?,1986,single,multi_hop,Find -> Relate -> Find -> And -> Find -> Relate -> Find -> And -> QueryRelationQualifier,9,2,25,,,,,,,True,True,What is the beginning date that Viacom (that is the owner of Paramount Pictures) is the parent company of Nickelodeon whose headquarters is located in New York City?,ru,"Translate the question from English to Russian while preserving entities, numbers, dates, ranges, comparisons, and logical constraints exactly. Do not simplify the logic and do not add new conditions. Preserve the original answer mode.",selected_kqapro_to_ru,ru,humanize_after_translation
