benchmark_id,source_dataset,source_split,source_id,question_en_original,question_translations,category,complexity_type,reasoning_family,question_entities,answer_type,answer_mode,answer_text_en,answer_entities,gold_answers,gold_qids,supporting_entities,supporting_numbers,num_answers,num_question_entities,has_supporting_entities,has_supporting_numbers,needs_translation,needs_rephrase,translation_source,notes,priority_score,surface_template,is_shallow_bridge,is_technical,is_binary_question,is_count_only,temporal_hits,comparison_hits,intersection_hits,extra_constraints,reconstructability_score_v2,auto_decision,decision_reasons
mintaka_test_5bd63af8,mintaka,test,5bd63af8,Who were the first two senators to represent the latest state added to the Union?,"{'ar': 'من هما أول عضوان في مجلس الشيوخ اللذان مثلا آخر ولاية انضمت للاتحاد؟', 'de': 'Wer waren die ersten beiden Senatoren, die den Staat repräsentierten, der zuletzt der Union beigetreten ist?', 'ja': '最新の連合に加えられた州を代表する代議士の最初の二人とは誰でしたか?', 'hi': 'संघ में शामिल किए गए नवीनतम राज्य का प्रतिनिधित्व करने वाले पहले दो senators कौन थे?', 'pt': 'Quem foram os dois primeiros senadores a representarem o último estado a ser incorporado à União?', 'es': '¿Quienes fueron los dos primeros senadores en representar el último estado agregado a la unión?', 'it': ""Chi erano i primi due senatori a rappresentare l'ultimo Stato aggiunto all'Unione?"", 'fr': 'Qui furent les deux premiers sénateurs à représenter le dernier État ajouté à l’Union ?'}",politics,multihop,multihop,"[{'name': 'Q15686806', 'entity_type': 'entity', 'label': 'senator', 'mention': 'senators', 'span': [23, 31]}, {'name': 'Q30', 'entity_type': 'entity', 'label': 'United States of America', 'mention': 'Union', 'span': [75, 80]}, {'name': '1', 'entity_type': 'ordinal', 'label': '', 'mention': 'first', 'span': [13, 18]}, {'name': '2', 'entity_type': 'cardinal', 'label': '', 'mention': 'two', 'span': [19, 22]}]",entity,list_like,Hiram Fong and Oren E. Long,"[{'name': 'Q926441', 'label_en': 'Hiram Fong', 'raw_label': {'en': 'Hiram Fong', 'ar': 'حيرام فونغ', 'de': 'Hiram Fong', 'es': 'Hiram Fong', 'fr': 'Hiram Fong', 'hi': None, 'it': 'Hiram Fong', 'ja': 'ハイラム・フォン', 'pt': 'Hiram Fong'}}, {'name': 'Q715129', 'label_en': 'Oren E. Long', 'raw_label': {'en': 'Oren E. Long', 'ar': 'اورين إي. لونغ', 'de': 'Oren E. Long', 'es': 'Oren E. Long', 'fr': 'Oren Long', 'hi': None, 'it': 'Oren E. Long', 'ja': 'オーレン・E・ロング', 'pt': 'Oren E. Long'}}]","[{'name': 'Q926441', 'label_en': 'Hiram Fong'}, {'name': 'Q715129', 'label_en': 'Oren E. Long'}]","['Q926441', 'Q715129']",[],[],2,4,False,False,True,True,en,,10,<ent> were the first two senators to represent the latest state added to the <ent>?,False,False,False,False,2,0,0,2,15,keep_for_reconstruction,multi_answer|list_like|temporal_signal
mintaka_train_08cbd2e7,mintaka,train,08cbd2e7,Which wives of US presidents were also mothers of US presidents?,"{'ar': 'من هن زوجات رؤساء الجمهورية اللواتي أصبحن لاحقًا والدات رؤساء الجمهورية؟', 'de': 'Welche Ehefrauen von US-Präsidenten waren auch Mütter von US-Präsidenten?', 'ja': 'アメリカ大統領の母でもあったアメリカ大統領の妻は誰？', 'hi': 'अमेरीकी राष्ट्रपति की कौन-सी पत्नियाँ अमेरीकी राष्ट्रपतियों की माएँ भी थी?', 'pt': 'Que esposas de presidentes dos Estados Unidos também foram mães de presidentes dos Estados Unidos?', 'es': '¿Qué esposas de presidentes de EE. UU. también fueron madres de presidentes de EE. UU.?', 'it': 'Quali mogli di Presidenti degli Stati Uniti sono state anche madri di Presidenti degli Stati Uniti?', 'fr': 'Quelles épouses de présidents américains étaient également mères de présidents américains ?'}",history,multihop,multihop,"[{'name': 'Q30', 'entity_type': 'entity', 'label': 'United States of America', 'mention': 'US', 'span': [50, 52]}]",entity,list_like,"Abagail Adams, Barbara Bush","[{'name': 'Q206191', 'label_en': 'Abigail Adams', 'raw_label': {'en': 'Abigail Adams', 'ar': 'أبيجيل آدامز', 'de': 'Abigail Adams', 'es': 'Abigail Adams', 'fr': 'Abigail Adams', 'hi': None, 'it': 'Abigail Adams', 'ja': 'アビゲイル・アダムズ', 'pt': 'Abigail Adams'}}, {'name': 'Q190628', 'label_en': 'Barbara Bush', 'raw_label': {'en': 'Barbara Bush', 'ar': 'باربرا بوش', 'de': 'Barbara Bush', 'es': 'Barbara Bush', 'fr': 'Barbara Bush', 'hi': None, 'it': 'Barbara Bush', 'ja': 'バーバラ・ピアーズ・ブッシュ', 'pt': 'Barbara Pierce Bush'}}]","[{'name': 'Q206191', 'label_en': 'Abigail Adams'}, {'name': 'Q190628', 'label_en': 'Barbara Bush'}]","['Q206191', 'Q190628']",[],[],2,1,False,False,True,True,en,,10,<ent> wives of us presidents were also mothers of us presidents?,False,False,False,False,0,0,2,1,15,keep_for_reconstruction,multi_answer|list_like|multi_constraint_signal
mintaka_train_b9354cf6,mintaka,train,b9354cf6,"Which city did the band that wrote ""Shiny Happy People"" come from?","{'ar': 'في أي مدينة أتت الفرقة التي كتبت ""Shiny Happy People""؟', 'de': 'Aus welcher Stadt kam die Band, die „Shiny Happy People” geschrieben hat?', 'ja': '""Shiny Happy Peopleを書いた楽隊はどの都市からのですか？""', 'hi': '""शाइनी हैप्पी पीपल"" लिखने वाला बैंड कौन से शहर से आया था?', 'pt': 'De que cidade veio a banda que escreveu Shiny Happy People?', 'es': '¿De qué ciudad venía la banda que escribió Shiny Happy People?', 'it': 'Da quale città proveniva la band che ha scritto ""Shiny Happy People""?', 'fr': 'De quelle ville vient le groupe qui a écrit « Shiny Happy People » ?'}",music,multihop,multihop,"[{'name': 'Q2306475', 'entity_type': 'entity', 'label': 'Shiny Happy People', 'mention': '""Shiny Happy People""', 'span': [35, 55]}]",entity,list_like,"Athens, GA","[{'name': 'Q203263', 'label_en': 'Athens', 'raw_label': {'en': 'Athens', 'ar': 'أثينا', 'de': 'Athens', 'es': 'Athens', 'fr': 'Athens', 'hi': 'एथेंस', 'it': 'Athens', 'ja': 'アセンズ', 'pt': 'Athens'}}, {'name': 'Q1428', 'label_en': 'Georgia', 'raw_label': {'en': 'Georgia', 'ar': 'جورجيا', 'de': 'Georgia', 'es': 'Georgia', 'fr': 'Géorgie', 'hi': 'जॉर्जिया (अमरीकी राज्य)', 'it': 'Georgia', 'ja': 'ジョージア州', 'pt': 'Geórgia'}}]","[{'name': 'Q203263', 'label_en': 'Athens'}, {'name': 'Q1428', 'label_en': 'Georgia'}]","['Q203263', 'Q1428']",[],[],2,1,False,False,True,True,en,,10,<ent> city did the band that wrote <quote> come from?,False,False,False,False,0,0,2,1,14,keep_for_reconstruction,multi_answer|list_like|multi_constraint_signal
mintaka_test_655db184,mintaka,test,655db184,Who was the pitcher for the winning team in the first World Series?,"{'ar': 'مَن كان الرامي في الفريق الرابح في أولى نهائيات كأس العالم؟', 'de': 'Wer war der Pitcher des Siegerteams der ersten World Series?', 'ja': '第1回のワールドシリーズで優勝したチームのピッチャーは誰だった？', 'hi': 'पहले वर्ल्ड सीरीज में जीतने वाली टीम का पिचर कौन था?', 'pt': 'Quem foi o arremessador do time vencedor no primeiro World Series?', 'es': '¿Quién fue el lanzador del equipo ganador en la primera Serie Mundial?', 'it': 'Chi è stato il lanciatore della squadra vincente nella prima World Series?', 'fr': 'Comment s’appelle le lanceur de l’équipe qui a remporté la première Série mondiale ?'}",sports,multihop,multihop,"[{'name': 'Q265538', 'entity_type': 'entity', 'label': 'World Series', 'mention': 'World Series', 'span': [54, 66]}, {'name': '1', 'entity_type': 'ordinal', 'label': '', 'mention': 'first', 'span': [48, 53]}]",entity,list_like,Bill Dinneen and Cy Young,"[{'name': 'Q4908773', 'label_en': 'Bill Dinneen', 'raw_label': {'en': 'Bill Dinneen', 'ar': None, 'de': 'Bill Dinneen', 'es': 'Bill Dinneen', 'fr': 'Bill Dinneen', 'hi': None, 'it': 'Bill Dinneen', 'ja': 'ビル・ディニーン', 'pt': None}}, {'name': 'Q362264', 'label_en': 'Cy Young', 'raw_label': {'en': 'Cy Young', 'ar': 'ساي يونغ', 'de': 'Cy Young', 'es': 'Cy Young', 'fr': 'Cy Young', 'hi': None, 'it': 'Cy Young', 'ja': 'サイ・ヤング', 'pt': 'Cy Young'}}]","[{'name': 'Q4908773', 'label_en': 'Bill Dinneen'}, {'name': 'Q362264', 'label_en': 'Cy Young'}]","['Q4908773', 'Q362264']",[],[],2,2,False,False,True,True,en,,10,<ent> was the pitcher for the winning team in the first <ent>?,False,False,False,False,1,0,0,1,13,keep_for_reconstruction,multi_answer|list_like|temporal_signal
mintaka_train_76dc240c,mintaka,train,76dc240c,What platforms can the first Animal Crossing mobile game be played on?,"{'ar': 'ما هي المنصات التي يمكن لعب أول لعبة للهاتف المحمول من أنيمال كروسينغ عليها؟', 'de': 'Auf welcher Plattform kann das erste „Animal Crossing“-Handyspiel gespielt werden?', 'ja': '初代『どうぶつの森』のモバイルゲームは、どのようなプラットフォームでプレイできますか？', 'hi': 'पहला एनिमल क्रॉसिंग मोबाइल गेम किस प्लेटफॉर्म पर खेला जा सकता है?', 'pt': 'O primeiro jogo Animal Crossing mobile pode ser jogado em quais plataformas?', 'es': '¿En qué plataformas se puede jugar el primer juego de Animal Crossing para móviles?', 'it': 'Su quale piattaforma si può giocare al primo gioco per cellulare di Animal Crossing?', 'fr': 'Sur quelles plateformes le premier jeu d’Animal Crossing sur téléphone portable peut-il se jouer ?'}",videogames,multihop,multihop,"[{'name': 'Q1139803', 'entity_type': 'entity', 'label': 'Animal Crossing', 'mention': 'Animal Crossing', 'span': [29, 44]}, {'name': '1', 'entity_type': 'ordinal', 'label': '', 'mention': 'first', 'span': [23, 28]}]",entity,list_like,"Android, iOS","[{'name': 'Q94', 'label_en': 'Android', 'raw_label': {'en': 'Android', 'ar': 'أندرويد', 'de': 'Android', 'es': 'Android', 'fr': 'Android', 'hi': 'Android', 'it': 'Android', 'ja': 'Android', 'pt': 'Android'}}, {'name': 'Q48493', 'label_en': 'iOS', 'raw_label': {'en': 'iOS', 'ar': 'آي أو إس', 'de': 'iOS', 'es': 'iOS', 'fr': 'iOS', 'hi': 'iOS', 'it': 'iOS', 'ja': 'iOS', 'pt': 'iOS'}}]","[{'name': 'Q94', 'label_en': 'Android'}, {'name': 'Q48493', 'label_en': 'iOS'}]","['Q94', 'Q48493']",[],[],2,2,False,False,True,True,en,,10,<ent> platforms can the first <ent> mobile game be played on?,False,False,False,False,1,0,0,1,13,keep_for_reconstruction,multi_answer|list_like|temporal_signal
mintaka_train_af82fcbd,mintaka,train,af82fcbd,Who was in charge of the screenplay on the movie that was based on the third book of Lord of the Rings?,"{'ar': 'من كان مسؤولاً عن سيناريو الفيلم المقتبس من الكتاب الثالث في سلسلة ""سيد الخواتم""؟', 'de': 'Wer war fedeführend beim Drehbuch der Verfilmung von Herr der Ringe?', 'ja': 'Lord of the Ringsの３番目の本に基づいて作る映画の画面を担当するのは誰ですか？', 'hi': 'लाॅर्ड ऑफ द रिंग्स की तीसरी किताब पर आधारित फ़िल्म की पटकथा का प्रभारी कौन था?', 'pt': 'Quem era o responsável pelo roteiro do filme que foi baseado no terceiro livro de O Senhor dos Anéis?', 'es': '¿Quién fue el responsable por el guión de la película basada en el tercer libro de Señor de Los Anillos?', 'it': 'Chi è stato incaricato di scrivere la sceneggiatura per il film basato sul terzo libro de ""Il signore degli anelli""?', 'fr': 'Qui était en charge du scénario du film inspiré du troisième livre du Seigneur des anneaux ?'}",books,multihop,multihop,"[{'name': 'Q15228', 'entity_type': 'entity', 'label': 'The Lord of the Rings', 'mention': 'Lord of the Rings', 'span': [85, 102]}, {'name': '3', 'entity_type': 'ordinal', 'label': '', 'mention': 'third', 'span': [71, 76]}]",entity,list_like,"Frank Walsh, Philippa Boyens, Peter Jackson","[{'name': 'Q116854', 'label_en': 'Philippa Boyens', 'raw_label': {'en': 'Philippa Boyens', 'ar': 'فيليبا بوينز', 'de': 'Philippa Boyens', 'es': 'Philippa Boyens', 'fr': 'Philippa Boyens', 'hi': None, 'it': 'Philippa Boyens', 'ja': 'フィリッパ・ボウエン', 'pt': 'Philippa Boyens'}}, {'name': 'Q4465', 'label_en': 'Peter Jackson', 'raw_label': {'en': 'Peter Jackson', 'ar': 'بيتر جاكسون', 'de': 'Peter Jackson', 'es': 'Peter Jackson', 'fr': 'Peter Jackson', 'hi': 'पीटर जैक्सन', 'it': 'Peter Jackson', 'ja': 'ピーター・ジャクソン', 'pt': 'Peter Jackson'}}]","[{'name': 'Q116854', 'label_en': 'Philippa Boyens'}, {'name': 'Q4465', 'label_en': 'Peter Jackson'}]","['Q116854', 'Q4465']",[],[],2,2,False,False,True,True,en,,10,<ent> was in charge of the screenplay on the movie that was based on the third book of <ent> of the <ent>?,False,False,False,False,0,0,1,0,13,keep_for_reconstruction,multi_answer|list_like
mintaka_train_d8a4fd32,mintaka,train,d8a4fd32,"What were the two initial continents in the video game that Blizzard Entertainment released on November 23, 2004?","{'ar': 'ما القارتان التي احتوت عليهما لعبة الفيديو التي أصدرتها ""بليزارد إنترتانمينت"" بتاريخ 23 نوفمبر 2004؟', 'de': 'Welches waren die beiden ersten Kontinente in dem Videospiel, das Blizzard Entertainment am 23. November 2004 veröffentlichte?', 'ja': '""2004年11月23日にブリザード・エンターテインメントより発売されたビデオゲームの中の最初の二つの大陸は何ですか?""', 'hi': 'उस वीडियो गेम कौन से दो प्रारंभिक महाद्वीप थे जिसे 23 नवंबर, 2004 में ब्लिज़र्ड एंटर्टेंमेंट ने रिलीज़ किया?', 'pt': 'Quais foram os dois continentes iniciais no video game que a Blizzard Entertainment lançou em 23 de novembro de 2004?', 'es': '¿Cuáles fueron los primeros dos continentes que tuvo el video juego que Blizzard Entertainment sacó el 23 noviembre de 2004?', 'it': 'Quali erano i due continenti iniziali nel video gioco che Blizzard Entertainment ha rilasciato il 23 Novembre 2004?', 'fr': 'Quels étaient les deux continents initiaux dans le jeu vidéo que Blizzard Entertainment a sorti le 23 novembre 2004 ?'}",videogames,multihop,multihop,"[{'name': 'Q178824', 'entity_type': 'entity', 'label': 'Blizzard Entertainment', 'mention': 'Blizzard Entertainment', 'span': [60, 82]}, {'name': '2', 'entity_type': 'cardinal', 'label': '', 'mention': 'two', 'span': [14, 17]}, {'name': '2004-11-23', 'entity_type': 'date', 'label': '', 'mention': 'November 23, 2004', 'span': [95, 112]}]",entity,list_like,"Kalimdor, Eastern Kingdoms","[{'name': 'Q850186', 'label_en': 'Kalimdor', 'raw_label': {'en': 'Kalimdor', 'ar': None, 'de': None, 'es': None, 'fr': None, 'hi': None, 'it': 'Kalimdor', 'ja': None, 'pt': None}}, {'name': 'Q849986', 'label_en': 'Eastern Kingdoms', 'raw_label': {'en': 'Eastern Kingdoms', 'ar': None, 'de': None, 'es': None, 'fr': None, 'hi': None, 'it': 'Regni Orientali', 'ja': None, 'pt': None}}]","[{'name': 'Q850186', 'label_en': 'Kalimdor'}, {'name': 'Q849986', 'label_en': 'Eastern Kingdoms'}]","['Q850186', 'Q849986']",[],[],2,3,False,False,True,True,en,,10,"<ent> were the two initial continents in the video game that <ent> released on <ent> <num>, <year>?",False,False,False,False,0,0,1,0,13,keep_for_reconstruction,multi_answer|list_like
mintaka_test_7215395f,mintaka,test,7215395f,Where is the 2020 AL MVP from?,"{'ar': 'من أين 2020 AL MVP؟', 'de': 'Woher kommt der AL MVP 2020?', 'ja': '2020年のアメリカンリーグのMVPはどこの出身ですか？', 'hi': '2020 AL MVP विजेता का संबंध कहाँ से है?', 'pt': 'De onde é o AL MVP de 2020?', 'es': '¿De dónde es el AL MVP de 2020?', 'it': ""Da dove viene l'MVP dell'AL 2020?"", 'fr': 'D’où vient AL MVP 2020 ?'}",sports,multihop,multihop,"[{'name': 'Q465469', 'entity_type': 'entity', 'label': 'American League', 'mention': 'AL', 'span': [18, 20]}, {'name': 'Q1514249', 'entity_type': 'entity', 'label': 'Major League Baseball Most Valuable Player Award', 'mention': 'MVP', 'span': [21, 24]}, {'name': '2020', 'entity_type': 'date', 'label': '', 'mention': '2020', 'span': [13, 17]}]",entity,list_like,"Cruces, Cuba","[{'name': 'Q5042', 'label_en': 'Cruces', 'raw_label': {'en': 'Cruces', 'ar': None, 'de': 'Cruces', 'es': 'Cruces', 'fr': 'Cruces', 'hi': None, 'it': 'Cruces', 'ja': None, 'pt': 'Cruces'}}, {'name': 'Q241', 'label_en': 'Cuba', 'raw_label': {'en': 'Cuba', 'ar': 'كوبا', 'de': 'Kuba', 'es': 'Cuba', 'fr': 'Cuba', 'hi': 'क्यूबा', 'it': 'Cuba', 'ja': 'キューバ', 'pt': 'Cuba'}}]","[{'name': 'Q5042', 'label_en': 'Cruces'}, {'name': 'Q241', 'label_en': 'Cuba'}]","['Q5042', 'Q241']",[],[],2,3,False,False,True,True,en,,10,<ent> is the <year> al mvp from?,False,False,False,False,0,0,0,0,12,keep_for_reconstruction,multi_answer|list_like
mintaka_train_2c1804b1,mintaka,train,2c1804b1,In Kingdom Hearts what is the name of Sora's Nobody's best friends?,"{'ar': ""في لعبة Kingdom Hearts ما هو اسم أصدقاء شخصية Sora's Nobody المقربين؟"", 'de': ""Wie heißen in Kingdom Hearts die besten Freunde von Sora's Nobody?"", 'ja': ""『キングダムハーツ』シリーズでは、Sora's Nobodyの親友の名前はなんですか？"", 'hi': 'किंगडम हार्ट्स में सोरा नोबडीज बेस्ट फ्रेंड्स का नाम क्या है?', 'pt': 'Em Kingdom Hearts, qual é o nome dos melhores amigos do Nobody de Sora?', 'es': 'En Kingdom Hearts, ¿cuál es el nombre de los mejores amigos de Sora´s nobody?', 'it': 'In Kingdom Hearts, come si chiamava il migliore amico del Nessuno di Sora?', 'fr': 'Dans Kingdom Hearts, quel est le nom des meilleurs amis de Sora et de Nobody ?'}",videogames,multihop,multihop,"[{'name': 'Q755167', 'entity_type': 'entity', 'label': 'Kingdom Hearts', 'mention': 'Kingdom Hearts', 'span': [3, 17]}, {'name': 'Q2089970', 'entity_type': 'entity', 'label': 'Sora', 'mention': ""Sora's"", 'span': [38, 44]}, {'name': 'Q827383', 'entity_type': 'entity', 'label': ""Nobody's Home"", 'mention': ""Nobody's"", 'span': [45, 53]}]",entity,list_like,Xion and Axel,"[{'name': 'Q18285504', 'label_en': 'Xion', 'raw_label': {'en': 'Xion', 'ar': None, 'de': None, 'es': 'Xion', 'fr': None, 'hi': None, 'it': None, 'ja': 'シオン', 'pt': 'Xion'}}, {'name': 'Q55687575', 'label_en': 'Axel', 'raw_label': {'en': 'Axel', 'ar': None, 'de': None, 'es': None, 'fr': None, 'hi': None, 'it': None, 'ja': 'アクセル', 'pt': None}}]","[{'name': 'Q18285504', 'label_en': 'Xion'}, {'name': 'Q55687575', 'label_en': 'Axel'}]","['Q18285504', 'Q55687575']",[],[],2,3,False,False,True,True,en,,10,<ent> what is the name of <ent><quote>s best friends?,False,False,False,False,0,0,0,0,12,keep_for_reconstruction,multi_answer|list_like
mintaka_train_fb2caf1b,mintaka,train,fb2caf1b,Where did the winner of the 2017 Nobel Prize in Literature go to university?,"{'ar': 'بأي جامعة التحق الفائز بجائزة نوبل في الأدب لعام 2017؟', 'de': 'Wo hat der Gewinner des 2017 Nobelpreises für Literatur studiert?', 'ja': '2017年ノーベル文学賞の受賞者はどこで大学に行きましたか？', 'hi': 'साल 2017 के साहित्य के क्षेत्र में नोबल पुरस्कार जीतने वाले व्यक्ति कहां के विश्वविद्यालय में गए?', 'pt': 'Onde o prêmio Nobel de inverno de 2017 em Literatura fez faculdade?', 'es': '¿A qué universidad fue el ganador del Premio Nobel de Literatura de 2017?', 'it': 'In quale università è andato il vincitore del Nobel per la Letteratura 2017?', 'fr': 'Dans quelle université le lauréat du prix Nobel de littérature de 2017 a-t-il fait ses études ?'}",books,multihop,multihop,"[{'name': 'Q37922', 'entity_type': 'entity', 'label': 'Nobel Prize in Literature', 'mention': 'Nobel Prize in Literature', 'span': [33, 58]}, {'name': '2017', 'entity_type': 'date', 'label': '', 'mention': '2017', 'span': [28, 32]}]",entity,list_like,University of Kent at Canterbury and University of East Anglia,"[{'name': 'Q1516684', 'label_en': 'University of Kent', 'raw_label': {'en': 'University of Kent', 'ar': 'جامعة كنت', 'de': 'University of Kent', 'es': 'Universidad de Kent', 'fr': 'université du Kent', 'hi': None, 'it': 'University of Kent', 'ja': 'ケント大学', 'pt': 'Universidade de Kent'}}, {'name': 'Q1045828', 'label_en': 'University of East Anglia', 'raw_label': {'en': 'University of East Anglia', 'ar': 'جامعة إيست أنجليا', 'de': 'University of East Anglia', 'es': 'Universidad de Anglia del Este', 'fr': ""université d'East Anglia"", 'hi': None, 'it': None, 'ja': 'イースト・アングリア大学', 'pt': 'Universidade da Ânglia Oriental'}}]","[{'name': 'Q1516684', 'label_en': 'University of Kent'}, {'name': 'Q1045828', 'label_en': 'University of East Anglia'}]","['Q1516684', 'Q1045828']",[],[],2,2,False,False,True,True,en,,10,<ent> did the winner of the <year> <ent> in <ent> go to university?,False,False,False,False,0,0,0,0,12,keep_for_reconstruction,multi_answer|list_like
