benchmark_id,source_dataset,source_split,use_role,import_mode,question_ru,question_en_original,reasoning_type,expected_cardinality,is_answerable,gold_preview,formal_query
ext_rubq2_dev_004012,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Какая самая крупнейшая пустыня в мире?,What is the largest desert in the world?,"ranking, reverse_relation, multi_constraint",1,True,Арктика,SELECT ?answer WHERE { ?answer p:P2046/psn:P2046/wikibase:quantityAmount ?sq . ?answer wdt:P31 wd:Q8514 . } ORDER BY DESC(?sq) LIMIT 1
ext_rubq2_test_003129,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какая планета является самой большой в Солнечной системе?,Which planet is the largest in the Solar system?,"ranking, reverse_relation, multi_constraint",1,True,Юпитер,SELECT ?answer WHERE { ?answer wdt:P31/wdt:P279* wd:Q17362350 . ?answer wdt:P2067 ?mass . } ORDER BY DESC (?mass) LIMIT 1
ext_rubq2_test_004011,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какой океан самый маленький?,Which ocean is the smallest?,"ranking, reverse_relation, multi_constraint",1,True,Северный Ледовитый океан,SELECT ?answer WHERE { ?answer p:P2046/psn:P2046/wikibase:quantityAmount ?sq . ?answer wdt:P31 wd:Q9430 . } ORDER BY ASC(?sq) LIMIT 1
ext_rubq2_test_004013,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Какая самая большая планета Солнечной системы?,What is the largest planet in the Solar system?,"ranking, reverse_relation, multi_constraint",1,True,Юпитер,SELECT ?answer WHERE { ?answer p:P2234/psn:P2234/wikibase:quantityAmount ?vol . ?answer wdt:P361 wd:Q3962257 } ORDER BY DESC(?vol) LIMIT 1
ext_rubq2_test_004015,RuBQ_2.0,test,direct_ru_candidate,direct_ru,Как называется самое маленькое по площади государство?,What is the name of the smallest state by area?,"ranking, reverse_relation, multi_constraint",1,True,Ватикан,SELECT ?answer WHERE { ?answer p:P2046/psn:P2046/wikibase:quantityAmount ?sq . ?answer wdt:P31 wd:Q3624078 . } ORDER BY ASC(?sq) LIMIT 1
ext_rubq2_dev_000113,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Какая столица стоит на берегу Потамака?,What capital stands on the banks of Potalaka?,"reverse_relation, multi_constraint",1,True,Вашингтон,SELECT ?answer WHERE { ?answer wdt:P206 wd:Q179444 . ?answer wdt:P31 wd:Q5119 }
ext_rubq2_dev_002027,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Что создал выходец из России Давид Сарнов?,"What did David sarnov, a native of Russia, create?","single_hop, reverse_relation",3,True,NBC | RCA Corporation | RKO Pictures,SELECT ?answer WHERE { ?answer wdt:P112 wd:Q360106 . }
ext_rubq2_dev_002034,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Кто был первым лауреатом Нобелевской премии по физике?,Who was the first winner of the Nobel prize in physics?,"ranking, qualifier_constraint",1,True,Вильгельм Рентген,SELECT ?answer WHERE { wd:Q38104 p:P1346 [ps:P1346 ?answer; pq:P585 ?year] } ORDER BY ASC(?year) LIMIT 1
ext_rubq2_dev_002044,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,Какая страна участвовала в вооруженном конфликте 1982 года с Великобританией из за Фолклендских островов?,Which country participated in the 1982 armed conflict with great Britain over the Falkland Islands?,"negation_or_exclusion, single_hop",1,True,Аргентина,SELECT ?answer WHERE { wd:Q48249 wdt:P710 ?answer . FILTER (?answer not in (wd:Q145)) }
ext_rubq2_dev_002089,RuBQ_2.0,dev,direct_ru_candidate,direct_ru,"С какой страной Бразилия ""делит"" водопад Игуасу?","Which country does Brazil ""share"" the Iguazu waterfall with?","negation_or_exclusion, single_hop",1,True,Аргентина,SELECT ?answer WHERE { wd:Q36332 wdt:P17 ?answer FILTER (?answer not in ( wd:Q155 )) }
