benchmark_id,source_dataset,source_split,question_en_original,question_ru,reasoning_family,question_type,answer_mode,gold_answers,gold_qids,num_answers,supporting_facts,num_supporting_facts,context_docs,num_context_docs,evidences,num_evidences,bridge_depth_estimate,shallow_bridge_flag,strength_bucket,raw_answer,raw_type,translation_ready_text,needs_translation,needs_rephrase,reconstructability_score
2wiki_e07552fc08a111ebbd7aac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who is older, The Woman Who Did (1925 Film) or In The Land Of The Cactus?",,bridge_comparison,bridge_comparison,single,['In The Land Of The Cactus'],[],1,[],0,[],0,[],0,5,False,medium,In The Land Of The Cactus,bridge_comparison,"Which film has the director who is older, The Woman Who Did (1925 Film) or In The Land Of The Cactus?",True,True,7
2wiki_414beed608bf11ebbd8aac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died first, Who Is This That I Love? or Eyes Of The Underworld (1929 Film)?",,bridge_comparison,bridge_comparison,single,['Who Is This That I Love?'],[],1,[],0,[],0,[],0,5,False,medium,Who Is This That I Love?,bridge_comparison,"Which film has the director who died first, Who Is This That I Love? or Eyes Of The Underworld (1929 Film)?",True,True,7
2wiki_414beed408bf11ebbd8aac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who is older than the other, Who Is This That I Love? or Eyes Of The Underworld (1929 Film)?",,bridge_comparison,bridge_comparison,single,['Who Is This That I Love?'],[],1,[],0,[],0,[],0,5,False,medium,Who Is This That I Love?,bridge_comparison,"Which film has the director who is older than the other, Who Is This That I Love? or Eyes Of The Underworld (1929 Film)?",True,True,7
2wiki_9e841e45087611ebbd67ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, Time To Leave or Who'S Who In The Wrestling World - And Why??",,bridge_comparison,bridge_comparison,single,['Time To Leave'],[],1,[],0,[],0,[],0,4,False,medium,Time To Leave,bridge_comparison,"Which film whose director is younger, Time To Leave or Who'S Who In The Wrestling World - And Why??",True,True,6
2wiki_1650b5a6086111ebbd5dac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born earlier, In The Name Of The King 3: The Last Mission or Beauty And Bullets?",,bridge_comparison,bridge_comparison,single,['Beauty And Bullets'],[],1,[],0,[],0,[],0,4,False,medium,Beauty And Bullets,bridge_comparison,"Which film has the director who was born earlier, In The Name Of The King 3: The Last Mission or Beauty And Bullets?",True,True,6
2wiki_2a221b8808d411ebbd96ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born earlier, In The Name Of The King 3: The Last Mission or Thotti Gang?",,bridge_comparison,bridge_comparison,single,['Thotti Gang'],[],1,[],0,[],0,[],0,4,False,medium,Thotti Gang,bridge_comparison,"Which film has the director who was born earlier, In The Name Of The King 3: The Last Mission or Thotti Gang?",True,True,6
2wiki_023b608f087a11ebbd67ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died first, Dance, Girl, Dance or In The Name Of The Kaisers?",,bridge_comparison,bridge_comparison,single,['In The Name Of The Kaisers'],[],1,[],0,[],0,[],0,4,False,medium,In The Name Of The Kaisers,bridge_comparison,"Which film has the director who died first, Dance, Girl, Dance or In The Name Of The Kaisers?",True,True,6
2wiki_c8d52ef108c011ebbd8aac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born earlier, Honor Of The West or The Fall Of The Louse Of Usher?",,bridge_comparison,bridge_comparison,single,['Honor Of The West'],[],1,[],0,[],0,[],0,4,False,medium,Honor Of The West,bridge_comparison,"Which film has the director who was born earlier, Honor Of The West or The Fall Of The Louse Of Usher?",True,True,6
2wiki_bfb6685c088911ebbd6eac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who is older, In The Company Of Men or When A Woman Breaks Her Jewel Box?",,bridge_comparison,bridge_comparison,single,['When A Woman Breaks Her Jewel Box'],[],1,[],0,[],0,[],0,4,False,medium,When A Woman Breaks Her Jewel Box,bridge_comparison,"Which film has the director who is older, In The Company Of Men or When A Woman Breaks Her Jewel Box?",True,True,6
2wiki_64e077b608b011ebbd84ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who is older than the other, The Woman In The Advocate'S Gown or The Abduction Of The Sabine Women (1954 Film)?",,bridge_comparison,bridge_comparison,single,"[""The Woman In The Advocate'S Gown""]",[],1,[],0,[],0,[],0,4,False,medium,The Woman In The Advocate'S Gown,bridge_comparison,"Which film has the director who is older than the other, The Woman In The Advocate'S Gown or The Abduction Of The Sabine Women (1954 Film)?",True,True,6
2wiki_7cd8b728087111ebbd63ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died earlier, That Certain Something or A Shot In The Dark (1964 Film)?",,bridge_comparison,bridge_comparison,single,['That Certain Something'],[],1,[],0,[],0,[],0,4,False,medium,That Certain Something,bridge_comparison,"Which film has the director who died earlier, That Certain Something or A Shot In The Dark (1964 Film)?",True,True,6
2wiki_d5bb88ee087511ebbd67ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born first, That Woman or Lincoln In The White House?",,bridge_comparison,bridge_comparison,single,['Lincoln In The White House'],[],1,[],0,[],0,[],0,4,False,medium,Lincoln In The White House,bridge_comparison,"Which film has the director who was born first, That Woman or Lincoln In The White House?",True,True,6
2wiki_055d382e08d811ebbd9aac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born earlier, Kindred Of The Dust or The Week Of The Sphinx?",,bridge_comparison,bridge_comparison,single,['Kindred Of The Dust'],[],1,[],0,[],0,[],0,4,False,medium,Kindred Of The Dust,bridge_comparison,"Which film has the director who was born earlier, Kindred Of The Dust or The Week Of The Sphinx?",True,True,6
2wiki_a3532f2808d011ebbd95ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died earlier, The Beast Of The City or Curse Of The Fly?",,bridge_comparison,bridge_comparison,single,['The Beast Of The City'],[],1,[],0,[],0,[],0,4,False,medium,The Beast Of The City,bridge_comparison,"Which film has the director who died earlier, The Beast Of The City or Curse Of The Fly?",True,True,6
2wiki_b6fe7322087911ebbd67ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who is older than the other, Torment Of The Past or Shadow Of The Hawk?",,bridge_comparison,bridge_comparison,single,['Torment Of The Past'],[],1,[],0,[],0,[],0,4,False,medium,Torment Of The Past,bridge_comparison,"Which film has the director who is older than the other, Torment Of The Past or Shadow Of The Hawk?",True,True,6
2wiki_45da26ee085311ebbd59ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who is older than the other, Land Of The Dead or Forest Of The Hanged?",,bridge_comparison,bridge_comparison,single,['Forest Of The Hanged'],[],1,[],0,[],0,[],0,4,False,medium,Forest Of The Hanged,bridge_comparison,"Which film has the director who is older than the other, Land Of The Dead or Forest Of The Hanged?",True,True,6
2wiki_be416c60088e11ebbd70ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died later, Wild Boys Of The Road or That Royle Girl?",,bridge_comparison,bridge_comparison,single,['Wild Boys Of The Road'],[],1,[],0,[],0,[],0,4,False,medium,Wild Boys Of The Road,bridge_comparison,"Which film has the director who died later, Wild Boys Of The Road or That Royle Girl?",True,True,6
2wiki_dd8da35408d911ebbd9cac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born earlier, Phantom Of The Paradise or The King Of The Turf?",,bridge_comparison,bridge_comparison,single,['The King Of The Turf'],[],1,[],0,[],0,[],0,4,False,medium,The King Of The Turf,bridge_comparison,"Which film has the director who was born earlier, Phantom Of The Paradise or The King Of The Turf?",True,True,6
2wiki_4046c668085011ebbd56ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who is older, The Lady Of The Lake (Film) or Murders In The Greenstreet?",,bridge_comparison,bridge_comparison,single,['Murders In The Greenstreet'],[],1,[],0,[],0,[],0,4,False,medium,Murders In The Greenstreet,bridge_comparison,"Which film has the director who is older, The Lady Of The Lake (Film) or Murders In The Greenstreet?",True,True,6
2wiki_c5ca44ee08a111ebbd79ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, That Sinking Feeling or North Of The Border (Film)?",,bridge_comparison,bridge_comparison,single,['That Sinking Feeling'],[],1,[],0,[],0,[],0,4,False,medium,That Sinking Feeling,bridge_comparison,"Which film whose director is younger, That Sinking Feeling or North Of The Border (Film)?",True,True,6
2wiki_c865dadd089311ebbd75ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, Rise Of The Planet Of The Apes or Central Intelligence?",,bridge_comparison,bridge_comparison,single,['Central Intelligence'],[],1,[],0,[],0,[],0,4,False,medium,Central Intelligence,bridge_comparison,"Which film whose director is younger, Rise Of The Planet Of The Apes or Central Intelligence?",True,True,6
2wiki_7e548b64087011ebbd63ac1f6bf848b6,2wikimultihopqa,train,"Do both films, In The Belly Of The Dragon and Where Trails End, have the directors who are from the same country?",,bridge_comparison,bridge_comparison,single,['no'],[],1,[],0,[],0,[],0,4,False,medium,no,bridge_comparison,"Do both films, In The Belly Of The Dragon and Where Trails End, have the directors who are from the same country?",True,True,6
2wiki_a3e026c1086811ebbd5eac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died earlier, In The Palace Of The King or Bluebeard (1972 Film)?",,bridge_comparison,bridge_comparison,single,['In The Palace Of The King'],[],1,[],0,[],0,[],0,4,False,medium,In The Palace Of The King,bridge_comparison,"Which film has the director who died earlier, In The Palace Of The King or Bluebeard (1972 Film)?",True,True,6
2wiki_de78593808e011ebbda2ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born earlier, The Favourite Son or In The Cool Of The Day?",,bridge_comparison,bridge_comparison,single,['In The Cool Of The Day'],[],1,[],0,[],0,[],0,4,False,medium,In The Cool Of The Day,bridge_comparison,"Which film has the director who was born earlier, The Favourite Son or In The Cool Of The Day?",True,True,6
2wiki_9b97ad8808d811ebbd9cac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, Legionnaires In Paris or Dawn Of The Planet Of The Apes?",,bridge_comparison,bridge_comparison,single,['Dawn Of The Planet Of The Apes'],[],1,[],0,[],0,[],0,4,False,medium,Dawn Of The Planet Of The Apes,bridge_comparison,"Which film whose director is younger, Legionnaires In Paris or Dawn Of The Planet Of The Apes?",True,True,6
2wiki_d45047f0084911ebbd55ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born earlier, Topaze (1951 Film) or In The Name Of The Kaisers?",,bridge_comparison,bridge_comparison,single,['In The Name Of The Kaisers'],[],1,[],0,[],0,[],0,4,False,medium,In The Name Of The Kaisers,bridge_comparison,"Which film has the director who was born earlier, Topaze (1951 Film) or In The Name Of The Kaisers?",True,True,6
2wiki_a63981f1089011ebbd72ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died first, Lost in the Suburbs or Who Is Without Sin?",,bridge_comparison,bridge_comparison,single,['Who Is Without Sin'],[],1,[],0,[],0,[],0,4,False,medium,Who Is Without Sin,bridge_comparison,"Which film has the director who died first, Lost in the Suburbs or Who Is Without Sin?",True,True,6
2wiki_d427a33c08e311ebbda4ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died later, Where Were You When The Lights Went Out? or Vellai Roja?",,bridge_comparison,bridge_comparison,single,['Vellai Roja'],[],1,[],0,[],0,[],0,4,False,medium,Vellai Roja,bridge_comparison,"Which film has the director who died later, Where Were You When The Lights Went Out? or Vellai Roja?",True,True,6
2wiki_2d4e33dc08e311ebbda4ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who is older than the other, In the Name of the King 3: The Last Mission or Panathottam?",,bridge_comparison,bridge_comparison,single,['Panathottam'],[],1,[],0,[],0,[],0,4,False,medium,Panathottam,bridge_comparison,"Which film has the director who is older than the other, In the Name of the King 3: The Last Mission or Panathottam?",True,True,6
2wiki_d32090ba086211ebbd5dac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died later, Blood In The Bullring or The Symbol Of The Unconquered?",,bridge_comparison,bridge_comparison,single,['Blood In The Bullring'],[],1,[],0,[],0,[],0,4,False,medium,Blood In The Bullring,bridge_comparison,"Which film has the director who died later, Blood In The Bullring or The Symbol Of The Unconquered?",True,True,6
2wiki_14264964089111ebbd72ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who is older than the other, All The Sins Of The Earth or Women In The Wind?",,bridge_comparison,bridge_comparison,single,['Women In The Wind'],[],1,[],0,[],0,[],0,4,False,medium,Women In The Wind,bridge_comparison,"Which film has the director who is older than the other, All The Sins Of The Earth or Women In The Wind?",True,True,6
2wiki_87a0abbe08b411ebbd88ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who died first, The Machine Age or The Extraordinary Adventures Of Mr. West In The Land Of The Bolsheviks?",,bridge_comparison,bridge_comparison,single,['The Extraordinary Adventures Of Mr. West In The Land Of The Bolsheviks'],[],1,[],0,[],0,[],0,4,False,medium,The Extraordinary Adventures Of Mr. West In The Land Of The Bolsheviks,bridge_comparison,"Which film has the director who died first, The Machine Age or The Extraordinary Adventures Of Mr. West In The Land Of The Bolsheviks?",True,True,6
2wiki_bf827c7808ba11ebbd88ac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born earlier, Summer In The Suburbs or The Girl In The Rain?",,bridge_comparison,bridge_comparison,single,['The Girl In The Rain'],[],1,[],0,[],0,[],0,4,False,medium,The Girl In The Rain,bridge_comparison,"Which film has the director who was born earlier, Summer In The Suburbs or The Girl In The Rain?",True,True,6
2wiki_a88e6bfd08c011ebbd8aac1f6bf848b6,2wikimultihopqa,train,"Which film has the director who was born later, Seven In The Sun or Daughter Of The Jungle?",,bridge_comparison,bridge_comparison,single,['Seven In The Sun'],[],1,[],0,[],0,[],0,4,False,medium,Seven In The Sun,bridge_comparison,"Which film has the director who was born later, Seven In The Sun or Daughter Of The Jungle?",True,True,6
2wiki_2133a610087811ebbd67ac1f6bf848b6,2wikimultihopqa,train,"Which film whose director is younger, When The Gods Fall Asleep or Prince Of The Plains?",,bridge_comparison,bridge_comparison,single,['When The Gods Fall Asleep'],[],1,[],0,[],0,[],0,4,False,medium,When The Gods Fall Asleep,bridge_comparison,"Which film whose director is younger, When The Gods Fall Asleep or Prince Of The Plains?",True,True,6
