benchmark_id,source_dataset,source_split,source_id,question_en_original,question_translations,category,complexity_type,reasoning_family,question_entities,answer_type,answer_mode,answer_text_en,answer_entities,gold_answers,gold_qids,supporting_entities,supporting_numbers,num_answers,num_question_entities,has_supporting_entities,has_supporting_numbers,needs_translation,needs_rephrase,translation_source,notes,priority_score,surface_template,is_shallow_bridge,is_technical,is_binary_question,is_count_only,temporal_hits,comparison_hits,intersection_hits,extra_constraints,reconstructability_score_v2,auto_decision,decision_reasons
mintaka_test_4af81c8c,mintaka,test,4af81c8c,Which awards was the latest Animal Crossing game nominated for at The Game Awards 2020?,"{'ar': 'ما الجوائز التي ترشحت لها أحدث لعبة من أنيمال كروسينغ في حفل جوائز الألعاب 2020؟', 'de': 'Für welche Auszeichnung war das neueste „Animal Crossing“-Spiel bei den „The Game Awards“ 2020 nominiert?', 'ja': '『どうぶつの森』の最新作は、「ゲームアワード2020」でどのような賞にノミネートされましたか？', 'hi': 'गेम एवार्ड्स 2020 में सबसे नया एनीमल क्रॉसिंग गेम किस ख़िताब के लिये नामांकित हुआ था?', 'pt': 'Qual foi a indicação para premiação mais recente que o jogo Animal Crossing recebeu no The Game Awards 2020?', 'es': '¿A qué premios se nominó el último juego de Animal Crossing en los Game Awards 2020?', 'it': ""A quali premi è stato nominato l'ultimo gioco Animal Crossing durante i Game Awards del 2020?"", 'fr': 'Pour quel prix le dernier jeu Animal Crossing a-t-il été nominé aux Game Awards 2020 ?'}",videogames,multihop,multihop,"[{'name': 'Q1139803', 'entity_type': 'entity', 'label': 'Animal Crossing', 'mention': 'Animal Crossing', 'span': [28, 43]}, {'name': 'Q18642757', 'entity_type': 'entity', 'label': 'The Game Awards', 'mention': 'The Game Awards', 'span': [66, 81]}, {'name': '2020', 'entity_type': 'date', 'label': '', 'mention': '2020', 'span': [82, 86]}]",entity,list_like,"Best Family Game, Best Multiplayer Game, Game of the Year","[{'name': 'Q50808928', 'label_en': 'The Game Awards - Best Family Game', 'raw_label': {'en': 'The Game Awards - Best Family Game', 'ar': None, 'de': None, 'es': 'The Game Awards - Mejor juego familiar', 'fr': 'Game Award du meilleur jeu pour la famille', 'hi': None, 'it': None, 'ja': None, 'pt': None}}, {'name': 'Q104117248', 'label_en': 'The Game Awards − Best Multiplayer', 'raw_label': {'en': 'The Game Awards − Best Multiplayer', 'ar': None, 'de': None, 'es': 'The Game Awards - Mejor juego multijugador', 'fr': 'Game Award du meilleur jeu multijoueur', 'hi': None, 'it': None, 'ja': None, 'pt': None}}, {'name': 'Q78762377', 'label_en': 'The Game Awards − Game of the Year', 'raw_label': {'en': 'The Game Awards − Game of the Year', 'ar': None, 'de': None, 'es': 'The Game Awards - Juego del año', 'fr': ""Game Award du meilleur jeu de l'année"", 'hi': None, 'it': None, 'ja': None, 'pt': 'The Game Award de Jogo do Ano'}}]","[{'name': 'Q50808928', 'label_en': 'The Game Awards - Best Family Game'}, {'name': 'Q104117248', 'label_en': 'The Game Awards − Best Multiplayer'}, {'name': 'Q78762377', 'label_en': 'The Game Awards − Game of the Year'}]","['Q50808928', 'Q104117248', 'Q78762377']",[],[],3,3,False,False,True,True,en,,10,<ent> awards was the latest <ent> game nominated for at <ent> <year>?,False,False,False,False,1,0,1,1,15,keep_for_reconstruction,multi_answer|list_like|temporal_signal
mintaka_test_63690199,mintaka,test,63690199,Who produced the movie that's based on the Harry Potter book released in 2004?,"{'ar': 'من انتج الفيلم المقتبس من كتاب هاري بوتر الصادر في عام 2004؟', 'de': 'Wer hat den Film produziert, der auf dem 2004 erschienenen „Harry Potter“-Buch basiert?', 'ja': '2004年にリリースされたハリー・ポッターの本に基づいて、映画を作りましたか？', 'hi': '2004 में रिलीज़ हुई हैरी पॉटर की किताब पर आधारित फिल्म का निर्माण किसने किया था?', 'pt': 'Quem produziu o filme que foi baseado no livro de Harry Potter lançado em 2004?', 'es': '¿Quién produjo la película basada en el libro de Harry Potter lanzado en 2004?', 'it': 'Chi ha prodotto il film basato sul libro di Harry Potter uscito nel 2004?', 'fr': 'Qui a produit le film inspiré du livre Harry Potter sorti en 2004 ?'}",books,multihop,multihop,"[{'name': 'Q8337', 'entity_type': 'entity', 'label': 'Harry Potter', 'mention': 'Harry Potter', 'span': [43, 55]}, {'name': '2004', 'entity_type': 'date', 'label': '', 'mention': '2004', 'span': [73, 77]}]",entity,list_like,"Chris Columbus, David Heyman, Mark Radcliffe","[{'name': 'Q75079', 'label_en': 'Chris Columbus', 'raw_label': {'en': 'Chris Columbus', 'ar': 'كريس كولومبوس', 'de': 'Chris Columbus', 'es': 'Chris Columbus', 'fr': 'Chris Columbus', 'hi': 'क्रिस कोलंबस', 'it': 'Chris Columbus', 'ja': 'クリス・コロンバス', 'pt': 'Chris Columbus'}}, {'name': 'Q319986', 'label_en': 'David Heyman', 'raw_label': {'en': 'David Heyman', 'ar': 'ديفيد هيمان', 'de': 'David Heyman', 'es': 'David Heyman', 'fr': 'David Heyman', 'hi': None, 'it': 'David Heyman', 'ja': 'デヴィッド・ハイマン', 'pt': 'David Heyman'}}, {'name': 'Q1900360', 'label_en': 'Mark Radcliffe', 'raw_label': {'en': 'Mark Radcliffe', 'ar': None, 'de': 'Mark Radcliffe', 'es': 'Mark Radcliffe', 'fr': 'Mark Radcliffe', 'hi': None, 'it': 'Mark Radcliffe', 'ja': None, 'pt': None}}]","[{'name': 'Q75079', 'label_en': 'Chris Columbus'}, {'name': 'Q319986', 'label_en': 'David Heyman'}, {'name': 'Q1900360', 'label_en': 'Mark Radcliffe'}]","['Q75079', 'Q319986', 'Q1900360']",[],[],3,2,False,False,True,True,en,,10,<ent> produced the movie that's based on the <ent> book released in <year>?,False,False,False,False,1,0,1,1,15,keep_for_reconstruction,multi_answer|list_like|temporal_signal
mintaka_test_5bd63af8,mintaka,test,5bd63af8,Who were the first two senators to represent the latest state added to the Union?,"{'ar': 'من هما أول عضوان في مجلس الشيوخ اللذان مثلا آخر ولاية انضمت للاتحاد؟', 'de': 'Wer waren die ersten beiden Senatoren, die den Staat repräsentierten, der zuletzt der Union beigetreten ist?', 'ja': '最新の連合に加えられた州を代表する代議士の最初の二人とは誰でしたか?', 'hi': 'संघ में शामिल किए गए नवीनतम राज्य का प्रतिनिधित्व करने वाले पहले दो senators कौन थे?', 'pt': 'Quem foram os dois primeiros senadores a representarem o último estado a ser incorporado à União?', 'es': '¿Quienes fueron los dos primeros senadores en representar el último estado agregado a la unión?', 'it': ""Chi erano i primi due senatori a rappresentare l'ultimo Stato aggiunto all'Unione?"", 'fr': 'Qui furent les deux premiers sénateurs à représenter le dernier État ajouté à l’Union ?'}",politics,multihop,multihop,"[{'name': 'Q15686806', 'entity_type': 'entity', 'label': 'senator', 'mention': 'senators', 'span': [23, 31]}, {'name': 'Q30', 'entity_type': 'entity', 'label': 'United States of America', 'mention': 'Union', 'span': [75, 80]}, {'name': '1', 'entity_type': 'ordinal', 'label': '', 'mention': 'first', 'span': [13, 18]}, {'name': '2', 'entity_type': 'cardinal', 'label': '', 'mention': 'two', 'span': [19, 22]}]",entity,list_like,Hiram Fong and Oren E. Long,"[{'name': 'Q926441', 'label_en': 'Hiram Fong', 'raw_label': {'en': 'Hiram Fong', 'ar': 'حيرام فونغ', 'de': 'Hiram Fong', 'es': 'Hiram Fong', 'fr': 'Hiram Fong', 'hi': None, 'it': 'Hiram Fong', 'ja': 'ハイラム・フォン', 'pt': 'Hiram Fong'}}, {'name': 'Q715129', 'label_en': 'Oren E. Long', 'raw_label': {'en': 'Oren E. Long', 'ar': 'اورين إي. لونغ', 'de': 'Oren E. Long', 'es': 'Oren E. Long', 'fr': 'Oren Long', 'hi': None, 'it': 'Oren E. Long', 'ja': 'オーレン・E・ロング', 'pt': 'Oren E. Long'}}]","[{'name': 'Q926441', 'label_en': 'Hiram Fong'}, {'name': 'Q715129', 'label_en': 'Oren E. Long'}]","['Q926441', 'Q715129']",[],[],2,4,False,False,True,True,en,,10,<ent> were the first two senators to represent the latest state added to the <ent>?,False,False,False,False,2,0,0,2,15,keep_for_reconstruction,multi_answer|list_like|temporal_signal
mintaka_train_08cbd2e7,mintaka,train,08cbd2e7,Which wives of US presidents were also mothers of US presidents?,"{'ar': 'من هن زوجات رؤساء الجمهورية اللواتي أصبحن لاحقًا والدات رؤساء الجمهورية؟', 'de': 'Welche Ehefrauen von US-Präsidenten waren auch Mütter von US-Präsidenten?', 'ja': 'アメリカ大統領の母でもあったアメリカ大統領の妻は誰？', 'hi': 'अमेरीकी राष्ट्रपति की कौन-सी पत्नियाँ अमेरीकी राष्ट्रपतियों की माएँ भी थी?', 'pt': 'Que esposas de presidentes dos Estados Unidos também foram mães de presidentes dos Estados Unidos?', 'es': '¿Qué esposas de presidentes de EE. UU. también fueron madres de presidentes de EE. UU.?', 'it': 'Quali mogli di Presidenti degli Stati Uniti sono state anche madri di Presidenti degli Stati Uniti?', 'fr': 'Quelles épouses de présidents américains étaient également mères de présidents américains ?'}",history,multihop,multihop,"[{'name': 'Q30', 'entity_type': 'entity', 'label': 'United States of America', 'mention': 'US', 'span': [50, 52]}]",entity,list_like,"Abagail Adams, Barbara Bush","[{'name': 'Q206191', 'label_en': 'Abigail Adams', 'raw_label': {'en': 'Abigail Adams', 'ar': 'أبيجيل آدامز', 'de': 'Abigail Adams', 'es': 'Abigail Adams', 'fr': 'Abigail Adams', 'hi': None, 'it': 'Abigail Adams', 'ja': 'アビゲイル・アダムズ', 'pt': 'Abigail Adams'}}, {'name': 'Q190628', 'label_en': 'Barbara Bush', 'raw_label': {'en': 'Barbara Bush', 'ar': 'باربرا بوش', 'de': 'Barbara Bush', 'es': 'Barbara Bush', 'fr': 'Barbara Bush', 'hi': None, 'it': 'Barbara Bush', 'ja': 'バーバラ・ピアーズ・ブッシュ', 'pt': 'Barbara Pierce Bush'}}]","[{'name': 'Q206191', 'label_en': 'Abigail Adams'}, {'name': 'Q190628', 'label_en': 'Barbara Bush'}]","['Q206191', 'Q190628']",[],[],2,1,False,False,True,True,en,,10,<ent> wives of us presidents were also mothers of us presidents?,False,False,False,False,0,0,2,1,15,keep_for_reconstruction,multi_answer|list_like|multi_constraint_signal
mintaka_train_29e5bf22,mintaka,train,29e5bf22,Who were the playable characters of the fourth Grand Theft Auto game and its expansions?,"{'ar': 'ما الشخصيات التي يمكن استخدامها للعب في الجزء الرابع من لعبة ""جراند ثفت أوتو"" وحِزمها التوسيعية؟', 'de': 'Wer waren die spielbaren Charaktere im vierten ""Grand Theft Auto""-Spiel und seiner Erweiterungen?', 'ja': '4作目のグランド・セフト・オートゲームとその拡張版で、プレイできるキャラクターは誰?', 'hi': 'चौथे ग्रैंड थेफ़्ट ऑटो गेम और उसके विस्तार में खेले जाने वाले पात्र कौन से हैं?', 'pt': 'Quem eram os personagens jogáveis do quarto jogo de Grand Theft Auto e suas expansões?', 'es': '¿Quénes eran los personajes jugables en el cuarto juego de Grand Theft Auto y sus expansiones?', 'it': 'Chi erano i personaggi giocabili del quarto gioco della serie Grand Theft Auto e sue espansioni?', 'fr': 'Qui étaient les personnages jouables du quatrième jeu Grand Theft Auto et de ses extensions ?'}",videogames,multihop,multihop,"[{'name': 'Q132730', 'entity_type': 'entity', 'label': 'Grand Theft Auto', 'mention': 'Grand Theft Auto', 'span': [47, 63]}, {'name': '4', 'entity_type': 'ordinal', 'label': '', 'mention': 'fourth', 'span': [40, 46]}]",entity,list_like,"Niko Bellic, Johnny Klebitz, Luis Fernando Lopez","[{'name': 'Q1774685', 'label_en': 'Niko Bellic', 'raw_label': {'en': 'Niko Bellic', 'ar': 'نيكو بيليك', 'de': 'Niko Bellic', 'es': 'Niko Bellic', 'fr': 'Nikolaj Belić', 'hi': None, 'it': 'Niko Bellic', 'ja': 'ニコ・ベリック', 'pt': 'Niko Bellic'}}, {'name': 'Q3182928', 'label_en': 'Johnny Klebitz', 'raw_label': {'en': 'Johnny Klebitz', 'ar': None, 'de': 'Johnny Klebitz', 'es': None, 'fr': 'Johnny Klebitz', 'hi': None, 'it': 'Johnny Klebitz', 'ja': None, 'pt': None}}, {'name': 'Q2270469', 'label_en': 'Luis Fernando Lopez', 'raw_label': {'en': 'Luis Fernando Lopez', 'ar': None, 'de': 'Luis Fernando Lopez', 'es': None, 'fr': 'Luis Lopez', 'hi': None, 'it': None, 'ja': None, 'pt': None}}]","[{'name': 'Q1774685', 'label_en': 'Niko Bellic'}, {'name': 'Q3182928', 'label_en': 'Johnny Klebitz'}, {'name': 'Q2270469', 'label_en': 'Luis Fernando Lopez'}]","['Q1774685', 'Q3182928', 'Q2270469']",[],[],3,2,False,False,True,True,en,,10,<ent> were the playable characters of the fourth <ent> game and its expansions?,False,False,False,False,0,0,1,0,14,keep_for_reconstruction,multi_answer|list_like
mintaka_train_05e10f57,mintaka,train,05e10f57,Where was the first president of the United States born?,"{'ar': 'أين ولد الرئيس الأول للولايات المتحدة؟', 'de': 'Wo ist der erste Präsident der USA geboren?', 'ja': '初代米国大統領はどこで生まれましたか？', 'hi': 'अमेरिका के पहले राष्ट्रपति का जन्म कहाँ हुआ था?', 'pt': 'Onde nasceu o primeiro presidente dos Estados Unidos?', 'es': '¿Dónde nació el primer presidente de los Estados Unidos?', 'it': 'Dove era nato il primo presidente degli Stati Uniti?', 'fr': 'Où est né le premier président des États-Unis ?'}",history,multihop,multihop,"[{'name': 'Q30', 'entity_type': 'entity', 'label': 'United States of America', 'mention': 'United States', 'span': [37, 50]}, {'name': '1', 'entity_type': 'ordinal', 'label': '', 'mention': 'first', 'span': [14, 19]}]",entity,list_like,"Westmoreland County, Virginia","[{'name': 'Q494413', 'label_en': 'Westmoreland County', 'raw_label': {'en': 'Westmoreland County', 'ar': 'مقاطعة ويستمورلاند', 'de': 'Westmoreland County', 'es': 'Condado de Westmoreland', 'fr': 'comté de Westmoreland', 'hi': None, 'it': 'contea di Westmoreland', 'ja': 'ウェストモアランド郡', 'pt': 'Condado de Westmoreland'}}, {'name': 'Q1370', 'label_en': 'Virginia', 'raw_label': {'en': 'Virginia', 'ar': 'فرجينيا', 'de': 'Virginia', 'es': 'Virginia', 'fr': 'Virginie', 'hi': 'वर्जीनिया', 'it': 'Virginia', 'ja': 'バージニア州', 'pt': 'Virgínia'}}]","[{'name': 'Q494413', 'label_en': 'Westmoreland County'}, {'name': 'Q1370', 'label_en': 'Virginia'}]","['Q494413', 'Q1370']",[],[],2,2,False,False,True,True,en,,10,<ent> was the first president of the <ent> born?,False,False,False,False,1,0,0,1,14,keep_for_reconstruction,multi_answer|list_like|temporal_signal
mintaka_train_b9354cf6,mintaka,train,b9354cf6,"Which city did the band that wrote ""Shiny Happy People"" come from?","{'ar': 'في أي مدينة أتت الفرقة التي كتبت ""Shiny Happy People""؟', 'de': 'Aus welcher Stadt kam die Band, die „Shiny Happy People” geschrieben hat?', 'ja': '""Shiny Happy Peopleを書いた楽隊はどの都市からのですか？""', 'hi': '""शाइनी हैप्पी पीपल"" लिखने वाला बैंड कौन से शहर से आया था?', 'pt': 'De que cidade veio a banda que escreveu Shiny Happy People?', 'es': '¿De qué ciudad venía la banda que escribió Shiny Happy People?', 'it': 'Da quale città proveniva la band che ha scritto ""Shiny Happy People""?', 'fr': 'De quelle ville vient le groupe qui a écrit « Shiny Happy People » ?'}",music,multihop,multihop,"[{'name': 'Q2306475', 'entity_type': 'entity', 'label': 'Shiny Happy People', 'mention': '""Shiny Happy People""', 'span': [35, 55]}]",entity,list_like,"Athens, GA","[{'name': 'Q203263', 'label_en': 'Athens', 'raw_label': {'en': 'Athens', 'ar': 'أثينا', 'de': 'Athens', 'es': 'Athens', 'fr': 'Athens', 'hi': 'एथेंस', 'it': 'Athens', 'ja': 'アセンズ', 'pt': 'Athens'}}, {'name': 'Q1428', 'label_en': 'Georgia', 'raw_label': {'en': 'Georgia', 'ar': 'جورجيا', 'de': 'Georgia', 'es': 'Georgia', 'fr': 'Géorgie', 'hi': 'जॉर्जिया (अमरीकी राज्य)', 'it': 'Georgia', 'ja': 'ジョージア州', 'pt': 'Geórgia'}}]","[{'name': 'Q203263', 'label_en': 'Athens'}, {'name': 'Q1428', 'label_en': 'Georgia'}]","['Q203263', 'Q1428']",[],[],2,1,False,False,True,True,en,,10,<ent> city did the band that wrote <quote> come from?,False,False,False,False,0,0,2,1,14,keep_for_reconstruction,multi_answer|list_like|multi_constraint_signal
mintaka_validation_304b59eb,mintaka,validation,304b59eb,Who was the top scorer of the Copa America tournament this year?,"{'ar': 'من هو هداف بطولة كوبا أمريكا لهذا العام؟', 'de': 'Wer war der beste Torschütze des diesjährigen Copa America-Turniers?', 'ja': '今年のコパ・アメリカで得点王だったのは?', 'hi': 'इस साल के Copa America टूर्नामेंट का शीर्ष स्कोरर कौन था?', 'pt': 'Qual foi o maior goleador da Copa América desse ano?', 'es': '¿Quién fue el máximo goleador de la Copa América este año?', 'it': ""Chi è stato il capocannoniere della Coppa America di quest'anno?"", 'fr': 'Qui était le meilleur buteur du tournoi de la Copa America cette année ?'}",sports,multihop,multihop,"[{'name': 'Q178750', 'entity_type': 'entity', 'label': 'Copa América', 'mention': 'Copa America', 'span': [30, 42]}]",entity,list_like,"Lionel Messi, Luis Diaz","[{'name': 'Q615', 'label_en': 'Lionel Messi', 'raw_label': {'en': 'Lionel Messi', 'ar': 'ليونيل ميسي', 'de': 'Lionel Messi', 'es': 'Lionel Messi', 'fr': 'Lionel Messi', 'hi': 'लियोनेल मेस्सी', 'it': 'Lionel Messi', 'ja': 'リオネル・メッシ', 'pt': 'Lionel Messi'}}, {'name': 'Q1031899', 'label_en': 'Luis Díaz', 'raw_label': {'en': 'Luis Díaz', 'ar': 'لويس دياز', 'de': 'Luis Díaz', 'es': 'Luis Díaz', 'fr': 'Luis Díaz', 'hi': None, 'it': None, 'ja': 'ルイス・ディアス', 'pt': 'Luis Díaz'}}]","[{'name': 'Q615', 'label_en': 'Lionel Messi'}, {'name': 'Q1031899', 'label_en': 'Luis Díaz'}]","['Q615', 'Q1031899']",[],[],2,1,False,False,True,True,en,,10,<ent> was the top scorer of the <ent> tournament this year?,False,False,False,False,0,1,0,1,14,keep_for_reconstruction,multi_answer|list_like|comparison_signal
mintaka_train_91c7335e,mintaka,train,91c7335e,Who are the love interests in Mass Effect 1?,"{'ar': 'ما هي الخيارات الرومنسية في ""ماس إيفيكت 1""؟', 'de': 'Wer sind die Love Interests in Mass Effect 1?', 'ja': 'Mass Effect 1で恋愛可能なのは誰ですか?', 'hi': 'Mass Effect 1 में प्रेम रुचियां कौन हैं?', 'pt': 'Quem eram os interesses amorosos em Mass Effect 1?', 'es': '¿Quiénes son los enamorados en Mass Effect 1?', 'it': 'Con quali personaggi puoi avere una storia su Mass Effect 1?', 'fr': 'Comment s’appellent les amoureux dans Mass Effect 1 ?'}",videogames,multihop,multihop,"[{'name': 'Q275960', 'entity_type': 'entity', 'label': 'Mass Effect', 'mention': 'Mass Effect 1', 'span': [30, 43]}]",entity,list_like,"Kaidan Alenko, Ashley Williams, Liara T'Soni","[{'name': 'Q16568495', 'label_en': 'Kaidan Alenko', 'raw_label': {'en': 'Kaidan Alenko', 'ar': None, 'de': None, 'es': None, 'fr': None, 'hi': None, 'it': 'Kaidan Alenko', 'ja': None, 'pt': None}}, {'name': 'Q16528918', 'label_en': 'Ashley Williams', 'raw_label': {'en': 'Ashley Williams', 'ar': None, 'de': 'Ashley Williams', 'es': None, 'fr': None, 'hi': None, 'it': 'Ashley Williams', 'ja': None, 'pt': None}}, {'name': 'Q16572370', 'label_en': ""Liara T'Soni"", 'raw_label': {'en': ""Liara T'Soni"", 'ar': None, 'de': None, 'es': None, 'fr': ""Liara T'Soni"", 'hi': None, 'it': ""Liara T'Soni"", 'ja': None, 'pt': None}}]","[{'name': 'Q16568495', 'label_en': 'Kaidan Alenko'}, {'name': 'Q16528918', 'label_en': 'Ashley Williams'}, {'name': 'Q16572370', 'label_en': ""Liara T'Soni""}]","['Q16568495', 'Q16528918', 'Q16572370']",[],[],3,1,False,False,True,True,en,,10,<ent> are the love interests in <ent> <num>?,False,False,False,False,0,0,0,0,13,keep_for_reconstruction,multi_answer|list_like
mintaka_train_b5103288,mintaka,train,b5103288,Where was Los Angeles Angels' two-way star born?,"{'ar': 'أين ولد نجم لوس أنجلوس آنجيلز في الدفاع والهجوم؟', 'de': 'Wo wurde der Zwei-Wege-Star der Los Angeles Angels geboren?', 'ja': 'ロサンゼルス・エンゼルスの二刀流のスター選手はどこで生まれましたか?', 'hi': 'Los Angeles Angels का टू-वे स्टार का जन्म कहाँ हुआ था?', 'pt': 'Onde nasceu o duplo astro do Los Angeles Angels?', 'es': '¿Dónde nació el estrella two-way de Los Angeles Angels?', 'it': 'Dove è nata il grande two-way player dei Los Angeles Angels?', 'fr': 'Où est né le meilleur joueur bidirectionnel des Angels de Los Angeles ?'}",sports,multihop,multihop,"[{'name': 'Q743309', 'entity_type': 'entity', 'label': 'Los Angeles Angels', 'mention': ""Los Angeles Angels'"", 'span': [10, 29]}, {'name': '2', 'entity_type': 'cardinal', 'label': '', 'mention': 'two', 'span': [30, 33]}]",entity,list_like,"Oshu, Iwate, Japan","[{'name': 'Q386052', 'label_en': 'Ōshū', 'raw_label': {'en': 'Ōshū', 'ar': 'أوشو، إيواته', 'de': 'Ōshū', 'es': 'Ōshū (Iwate)', 'fr': 'Ōshū (Iwate)', 'hi': 'ओशु', 'it': 'Ōshū', 'ja': '奥州市', 'pt': 'Oshu'}}, {'name': 'Q1206018', 'label_en': 'Iwate', 'raw_label': {'en': 'Iwate', 'ar': 'إيواته', 'de': 'Iwate', 'es': 'Iwate', 'fr': 'Iwate', 'hi': None, 'it': 'Iwate', 'ja': '岩手町', 'pt': 'Iwate'}}, {'name': 'Q17', 'label_en': 'Japan', 'raw_label': {'en': 'Japan', 'ar': 'اليابان', 'de': 'Japan', 'es': 'Japón', 'fr': 'Japon', 'hi': 'जापान', 'it': 'Giappone', 'ja': '日本', 'pt': 'Japão'}}]","[{'name': 'Q386052', 'label_en': 'Ōshū'}, {'name': 'Q1206018', 'label_en': 'Iwate'}, {'name': 'Q17', 'label_en': 'Japan'}]","['Q386052', 'Q1206018', 'Q17']",[],[],3,2,False,False,True,True,en,,10,<ent> was <ent>' two-way star born?,False,False,False,False,0,0,0,0,13,keep_for_reconstruction,multi_answer|list_like
